,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_0148,ddlB,163167,164093,+,D-alanine--D-alanine ligase B,Nucleotide transport and metabolism,,,CP008706.1,AKA29943.1,ABUW_RS00735,NZ_CP008706.1,Op87
ABUW_0149,ftsQ,164096,164950,+,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA29944.1,ABUW_RS00740,NZ_CP008706.1,Op87
ABUW_0150,ftsA,165011,166273,+,cell division protein FtsA,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA29945.1,ABUW_RS00745,NZ_CP008706.1,Op88
ABUW_0151,ftsZ,166438,167613,+,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA29946.1,ABUW_RS00750,NZ_CP008706.1,Op88
ABUW_0152,lpxC,167724,168626,+,UDP-3-O-[3-hydroxymyristoyl] N- acetylglucosamine deacetylase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29947.1,ABUW_RS00755,NZ_CP008706.1,Op89
ABUW_0153,ABUW_0153,168724,169164,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29948.1,ABUW_RS00760,NZ_CP008706.1,
ABUW_0154,ABUW_0154,169272,169964,+,peptidase%2C M23/M37 family (EsvJ),Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29949.1,ABUW_RS00765,NZ_CP008706.1,Op90
ABUW_0155,aceE,170215,172932,+,pyruvate decarboxylase E1 component,Energy production and conversion,,,CP008706.1,AKA29950.1,ABUW_RS00770,NZ_CP008706.1,Op91
ABUW_0156,aceF,172935,174914,+,pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase,Energy production and conversion,,,CP008706.1,AKA29951.1,ABUW_RS00775,NZ_CP008706.1,Op91
ABUW_0157,ABUW_0157,175063,175335,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29952.1,ABUW_RS00780,NZ_CP008706.1,Op92
ABUW_0158,ABUW_0158,175584,176159,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29953.1,ABUW_RS00785,NZ_CP008706.1,Op93
ABUW_0159,ABUW_0159,176219,178375,-,TonB-dependent receptor protein,Inorganic ion transport and metabolism,,Fur,CP008706.1,AKA29954.1,ABUW_RS00790,NZ_CP008706.1,
ABUW_0160,ABUW_0160,178603,179400,+,metallo-beta-lactamase family protein,Energy production and conversion,,,CP008706.1,AKA29955.1,ABUW_RS00795,NZ_CP008706.1,Op94
ABUW_0161,ABUW_0161,179492,179857,+,putative ferredoxin,Function unknown,,,CP008706.1,AKA29956.1,ABUW_RS00800,NZ_CP008706.1,Op95
ABUW_0162,guaB,179993,181459,+,inosine-5'-monophosphate dehydrogenase,Nucleotide transport and metabolism,,,CP008706.1,AKA29957.1,ABUW_RS00805,NZ_CP008706.1,Op96
ABUW_0163,glmM,181609,182946,+,phosphoglucosamine mutase,Carbohydrate transport and metabolism,,,CP008706.1,AKA29958.1,ABUW_RS00810,NZ_CP008706.1,Op97
ABUW_0164,pdxH,182957,183613,+,pyridoxamine 5'-phosphate oxidase,Coenzyme transport and metabolism,,,CP008706.1,AKA29959.1,ABUW_RS00815,NZ_CP008706.1,Op97
ABUW_0165,recJ,183614,185314,+,single-stranded-DNA-specific exonuclease RecJ,"Replication, recombination and repair",,,CP008706.1,AKA29960.1,ABUW_RS00820,NZ_CP008706.1,Op97
ABUW_0166,ABUW_0166,185359,186126,-,outer membrane protein,Function unknown,,,CP008706.1,AKA29961.1,ABUW_RS00825,NZ_CP008706.1,
ABUW_0167,prfB,186682,187614,+,peptide chain release factor 2,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA29962.1,ABUW_RS00830,NZ_CP008706.1,Op98
ABUW_0168,ABUW_0168,187713,187844,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29963.1,,,
ABUW_0169,ABUW_0169,187814,188116,+,transcriptional regulator%2C ArsR family,Transcription,,,CP008706.1,AKA29964.1,ABUW_RS00835,NZ_CP008706.1,Op99
ABUW_0170,xenB,188145,189203,+,N-ethylmaleimide reductase,Energy production and conversion,,,CP008706.1,AKA29965.1,ABUW_RS00840,NZ_CP008706.1,Op99
ABUW_0171,kdtA,189372,190664,+,3-deoxy-D-manno-2-octulosonate transferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29966.1,ABUW_RS00845,NZ_CP008706.1,Op100
ABUW_0172,ABUW_0172,190661,191368,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA29967.1,ABUW_RS00850,NZ_CP008706.1,Op100
ABUW_0173,ABUW_0173,191348,192328,-,MscS Mechanosensitive ion channel,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29968.1,ABUW_RS00855,NZ_CP008706.1,Op101
ABUW_0174,ABUW_0174,192441,193016,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29969.1,ABUW_RS00860,NZ_CP008706.1,Op102
ABUW_0175,acsA,193311,195260,+,acetate--CoA ligase,Lipid transport and metabolism,,,CP008706.1,AKA29970.1,ABUW_RS00865,NZ_CP008706.1,
ABUW_0176,ABUW_0176,195307,195849,-,amidase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA29971.1,ABUW_RS00870,NZ_CP008706.1,
ABUW_0177,ABUW_0177,195955,196368,+,transcriptional regulator%2C AsnC/Lrp family,Transcription,,,CP008706.1,AKA29972.1,ABUW_RS00875,NZ_CP008706.1,
ABUW_0178,ABUW_0178,196462,197574,-,alkanesulfonate monooxygenase,Energy production and conversion,,,CP008706.1,AKA29973.1,ABUW_RS00880,NZ_CP008706.1,Op103
ABUW_0179,msuE,197620,198357,-,NADH-dependent fmn reductase,Function unknown,,,CP008706.1,AKA29974.1,ABUW_RS00885,NZ_CP008706.1,Op104
ABUW_0180,ABUW_0180,198734,199384,+,two-component system response regulator protein,Transcription,,,CP008706.1,AKA29975.1,ABUW_RS00890,NZ_CP008706.1,
ABUW_0181,ABUW_0181,199427,200194,-,hypothetical protein,No COG annotation,,ABUW_1645,CP008706.1,AKA29976.1,ABUW_RS00895,NZ_CP008706.1,Op105
ABUW_0182,ABUW_0182,200589,204086,-,two-component system hybrid histidine kinase/response regulator,Signal transduction mechanisms,,,CP008706.1,AKA29977.1,ABUW_RS00900,NZ_CP008706.1,Op106
ABUW_0183,ABUW_0183,204270,204602,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29978.1,ABUW_RS00905,NZ_CP008706.1,Op107
ABUW_0184,ABUW_0184,204604,206319,+,Na+/solute symporter,Function unknown,,,CP008706.1,AKA29979.1,ABUW_RS00910,NZ_CP008706.1,Op107
ABUW_0185,ABUW_0185,206489,207181,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29980.1,ABUW_RS00915,NZ_CP008706.1,Op108
ABUW_0186,ABUW_0186,207347,209314,+,high-affinity choline transport protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29981.1,ABUW_RS00920,NZ_CP008706.1,Op109
ABUW_0187,ABUW_0187,209373,210254,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29982.1,ABUW_RS00925,NZ_CP008706.1,
ABUW_0188,ABUW_0188,211247,212953,+,GGDEF family protein,Signal transduction mechanisms,,,CP008706.1,AKA29983.1,ABUW_RS00930,NZ_CP008706.1,
ABUW_0189,uvrA,212987,215821,-,excinuclease ABC%2C A subunit,"Replication, recombination and repair",,,CP008706.1,AKA29984.1,ABUW_RS00935,NZ_CP008706.1,
ABUW_0190,ABUW_0190,216118,216720,+,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA29985.1,ABUW_RS00940,NZ_CP008706.1,Op110
ABUW_0191,ABUW_0191,216724,217701,+,alcohol dehydrogenase%2C zinc-binding,Energy production and conversion,,,CP008706.1,AKA29986.1,ABUW_RS00945,NZ_CP008706.1,Op110
ABUW_0192,ABUW_0192,217766,218119,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29987.1,ABUW_RS00950,NZ_CP008706.1,Op111
ABUW_0193,ABUW_0193,218172,218513,+,GlpM family protein,Function unknown,,,CP008706.1,AKA29988.1,ABUW_RS00955,NZ_CP008706.1,Op112
ABUW_0194,ABUW_0194,218563,219237,-,transcriptional regulator%2C TenA family,Transcription,,,CP008706.1,AKA29989.1,ABUW_RS00960,NZ_CP008706.1,
ABUW_0195,ABUW_0195,219500,220582,+,major facilitator family transporter,Function unknown,,,CP008706.1,AKA29990.1,ABUW_RS00965,NZ_CP008706.1,Op113
ABUW_0196,ABUW_0196,220732,222093,+,major facilitator family transporter,Amino acid transport and metabolism,,,CP008706.1,AKA29991.1,ABUW_RS00970,NZ_CP008706.1,Op114
ABUW_0197,ssb,222145,222726,+,single-strand binding protein,"Replication, recombination and repair",,,CP008706.1,AKA29992.1,ABUW_RS00975,NZ_CP008706.1,Op115
ABUW_0198,ABUW_0198,222767,223090,-,branched-chain amino acid transport,Function unknown,,,CP008706.1,AKA29993.1,ABUW_RS00980,NZ_CP008706.1,Op116
ABUW_0199,ABUW_0199,223087,223782,-,hypothetical protein,Amino acid transport and metabolism,,,CP008706.1,AKA29994.1,ABUW_RS00985,NZ_CP008706.1,Op116
ABUW_0200,ABUW_0200,223851,224399,+,transcriptional regulator%2C XRE family,Transcription,,,CP008706.1,AKA29995.1,ABUW_RS00990,NZ_CP008706.1,Op117
ABUW_0201,gabP,224705,226147,+,GABA permease,Amino acid transport and metabolism,,,CP008706.1,AKA29996.1,ABUW_RS00995,NZ_CP008706.1,Op118
ABUW_0202,ABUW_0202,226208,227752,-,transcriptional regulator%2C GntR family,Transcription,,,CP008706.1,AKA29997.1,ABUW_RS01000,NZ_CP008706.1,
ABUW_0203,gabT,227864,229156,+,4-aminobutyrate transaminase,Amino acid transport and metabolism,,GabR,CP008706.1,AKA29998.1,ABUW_RS01005,NZ_CP008706.1,Op119
ABUW_0204,gabD1,229153,230601,+,succinate-semialdehyde dehydrogenase (NADP+),Energy production and conversion,,GabR,CP008706.1,AKA29999.1,ABUW_RS01010,NZ_CP008706.1,Op119
ABUW_0205,ABUW_0205,230706,231680,-,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA30000.1,ABUW_RS01015,NZ_CP008706.1,Op120
ABUW_0206,ABUW_0206,231701,232327,-,isochorismate hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30001.1,ABUW_RS01020,NZ_CP008706.1,Op120
ABUW_0207,ABUW_0207,232604,233476,+,pirin family protein,Function unknown,,,CP008706.1,AKA30002.1,ABUW_RS01025,NZ_CP008706.1,Op121
ABUW_0208,ABUW_0208,233877,235214,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30003.1,ABUW_RS01030,NZ_CP008706.1,Op122
ABUW_0209,ABUW_0209,235219,236046,+,methyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30004.1,ABUW_RS01035,NZ_CP008706.1,Op122
ABUW_0210,ABUW_0210,236055,236477,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30005.1,ABUW_RS01040,NZ_CP008706.1,Op123
ABUW_0211,ABUW_0211,236481,236651,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30006.1,,,
ABUW_0213,ABUW_0213,237320,238564,-,major facilitator family transporter,Amino acid transport and metabolism,,,CP008706.1,AKA30007.1,ABUW_RS01050,NZ_CP008706.1,Op124
ABUW_0214,ABUW_0214,238703,239623,+,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA30008.1,ABUW_RS01055,NZ_CP008706.1,
ABUW_0215,ABUW_0215,239620,240507,-,permease,Amino acid transport and metabolism,,,CP008706.1,AKA30009.1,ABUW_RS01060,NZ_CP008706.1,
ABUW_0216,ABUW_0216,240736,241479,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30010.1,ABUW_RS01065,NZ_CP008706.1,Op125
ABUW_0217,ABUW_0217,241504,241896,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30011.1,ABUW_RS01070,NZ_CP008706.1,Op125
ABUW_0218,ABUW_0218,241942,242943,-,aldo-keto reductase,Energy production and conversion,,,CP008706.1,AKA30012.1,ABUW_RS01075,NZ_CP008706.1,Op126
ABUW_0219,ABUW_0219,243055,243957,-,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA30013.1,ABUW_RS01080,NZ_CP008706.1,Op127
ABUW_0220,ABUW_0220,244486,244698,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30014.1,,,
ABUW_0222,ABUW_0222,244914,245465,+,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA30015.1,ABUW_RS01085,NZ_CP008706.1,
ABUW_0223,ABUW_0223,245520,245936,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30016.1,ABUW_RS01090,NZ_CP008706.1,
ABUW_0224,ABUW_0224,246048,246362,+,transcriptional regulator%2C HxlR family,Transcription,,,CP008706.1,AKA30017.1,ABUW_RS01095,NZ_CP008706.1,
ABUW_0225,ABUW_0225,246467,246991,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30018.1,ABUW_RS01100,NZ_CP008706.1,Op128
ABUW_0226,ABUW_0226,247154,247372,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30019.1,ABUW_RS01105,NZ_CP008706.1,Op129
ABUW_0227,ABUW_0227,247400,247735,-,transcriptional regulator%2C MarR family,Transcription,,,CP008706.1,AKA30020.1,ABUW_RS01110,NZ_CP008706.1,Op129
ABUW_0228,ABUW_0228,247853,248410,+,NAD(P)H oxidoreductase,Function unknown,,,CP008706.1,AKA30021.1,ABUW_RS01115,NZ_CP008706.1,
ABUW_0229,ABUW_0229,248441,249274,-,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA30022.1,ABUW_RS01120,NZ_CP008706.1,
ABUW_0230,ABUW_0230,249413,249955,+,acetyltransferase%2C gnat family,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30023.1,ABUW_RS01125,NZ_CP008706.1,
ABUW_0232,trkD,250338,252215,+,potassium transport system low affinity (KUP family),Inorganic ion transport and metabolism,,,CP008706.1,AKA30024.1,ABUW_RS01135,NZ_CP008706.1,
ABUW_0233,ABUW_0233,252271,252714,-,hypothetical protein,No COG annotation,,ABUW_1645,CP008706.1,AKA30025.1,ABUW_RS01140,NZ_CP008706.1,
ABUW_0234,ABUW_0234,252970,254049,+,DNA/RNA non-specific endonuclease G protein,Nucleotide transport and metabolism,,,CP008706.1,AKA30026.1,ABUW_RS01145,NZ_CP008706.1,Op130
ABUW_0235,ABUW_0235,254146,254745,+,transporter LysE family,Amino acid transport and metabolism,,ABUW_1645,CP008706.1,AKA30027.1,ABUW_RS01150,NZ_CP008706.1,Op131
ABUW_0236,ABUW_0236,254791,255033,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30028.1,ABUW_RS01155,NZ_CP008706.1,Op132
ABUW_0237,aqpZ,255242,255931,-,aquaporin Z,Carbohydrate transport and metabolism,,ABUW_1645,CP008706.1,AKA30029.1,ABUW_RS01160,NZ_CP008706.1,Op133
ABUW_0238,ABUW_0238,256064,257068,-,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA30030.1,ABUW_RS01165,NZ_CP008706.1,Op134
ABUW_0239,ABUW_0239,257178,257816,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30031.1,ABUW_RS01170,NZ_CP008706.1,
ABUW_0240,hisF,257858,258616,-,imidazoleglycerol phosphate synthase%2C cyclase subunit,Amino acid transport and metabolism,,,CP008706.1,AKA30032.1,ABUW_RS01175,NZ_CP008706.1,
ABUW_0241,ABUW_0241,258729,259679,+,homoserine kinase,Nucleotide transport and metabolism,,,CP008706.1,AKA30033.1,ABUW_RS01180,NZ_CP008706.1,Op135
ABUW_0242,ABUW_0242,259692,260321,+,cold-shock DNA-binding domain protein,Transcription,,,CP008706.1,AKA30034.1,ABUW_RS01185,NZ_CP008706.1,Op135
ABUW_0243,ABUW_0243,260358,260753,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30035.1,ABUW_RS01190,NZ_CP008706.1,Op135
ABUW_0244,ABUW_0244,260787,261689,-,hypothetical protein,Amino acid transport and metabolism,,,CP008706.1,AKA30036.1,ABUW_RS01195,NZ_CP008706.1,
ABUW_0245,ABUW_0245,261788,262339,+,transcriptional regulator%2C XRE family,Transcription,,,CP008706.1,AKA30037.1,ABUW_RS01200,NZ_CP008706.1,
ABUW_0246,hisA,262407,263138,-,phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,Amino acid transport and metabolism,,,CP008706.1,AKA30038.1,ABUW_RS01205,NZ_CP008706.1,Op136
ABUW_0247,ABUW_0247,263233,263874,-,3'-5' exonuclease,"Replication, recombination and repair",,,CP008706.1,AKA30039.1,ABUW_RS01210,NZ_CP008706.1,Op136
ABUW_0248,ABUW_0248,263961,264509,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30040.1,ABUW_RS01215,NZ_CP008706.1,Op137
ABUW_0249,hisH,264663,265280,-,imidazole glycerol phosphate synthase%2C glutamine amidotransferase subunit,Amino acid transport and metabolism,,,CP008706.1,AKA30041.1,ABUW_RS01220,NZ_CP008706.1,Op138
ABUW_0250,hisB,265280,265873,-,imidazoleglycerol-phosphate dehydratase,Amino acid transport and metabolism,,,CP008706.1,AKA30042.1,ABUW_RS01225,NZ_CP008706.1,Op138
ABUW_0251,ABUW_0251,265976,266359,+,hypothetical protein,Transcription,,,CP008706.1,AKA30043.1,ABUW_RS01230,NZ_CP008706.1,Op139
ABUW_0254,ABUW_0254,266914,267345,-,acetyltransferase,Transcription,,,CP008706.1,AKA30044.1,ABUW_RS01245,NZ_CP008706.1,Op140
ABUW_0255,ABUW_0255,267476,268990,-,succinyl-CoA:coenzyme A transferase,Energy production and conversion,,Fur,CP008706.1,AKA30045.1,ABUW_RS01250,NZ_CP008706.1,Op141
ABUW_0256,envZ,269182,270639,-,two-component system sensory histidine kinase,Signal transduction mechanisms,,,CP008706.1,AKA30046.1,ABUW_RS01255,NZ_CP008706.1,Op141
ABUW_0257,ompR,270657,271421,-,two-component system response regulator protein,Transcription,,,CP008706.1,AKA30047.1,ABUW_RS01260,NZ_CP008706.1,Op141
ABUW_0258,ABUW_0258,272077,274425,+,RNA binding S1 domain protein,Transcription,,,CP008706.1,AKA30048.1,ABUW_RS01265,NZ_CP008706.1,Op142
ABUW_0259,ABUW_0259,274715,276916,+,sulfate transporter,Inorganic ion transport and metabolism,,"AbaM,ABUW_1645",CP008706.1,AKA30049.1,ABUW_RS01270,NZ_CP008706.1,Op143
ABUW_0260,acr1,276984,277874,-,acyl coenzyme A reductase,Function unknown,,,CP008706.1,AKA30050.1,ABUW_RS01275,NZ_CP008706.1,Op144
ABUW_0261,metY,278148,279425,-,O-acetylhomoserine/O-acetylserine sulfhydrylase,Amino acid transport and metabolism,,,CP008706.1,AKA30051.1,ABUW_RS01280,NZ_CP008706.1,Op145
ABUW_0262,ABUW_0262,279723,281384,+,ABC transporter ATP-binding protein,Function unknown,,,CP008706.1,AKA30052.1,ABUW_RS01285,NZ_CP008706.1,Op146
ABUW_0263,ABUW_0263,281563,282156,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30053.1,ABUW_RS01290,NZ_CP008706.1,Op147
ABUW_0264,ABUW_0264,282256,282948,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30054.1,ABUW_RS01295,NZ_CP008706.1,
ABUW_0265,ABUW_0265,283097,283495,+,cation efflux system protein,No COG annotation,,,CP008706.1,AKA30055.1,ABUW_RS01300,NZ_CP008706.1,Op148
ABUW_0266,czcC,283655,284965,+,cation efflux system protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30056.1,ABUW_RS01305,NZ_CP008706.1,Op149
ABUW_0267,czcB,284968,286185,+,cation efflux system protein (EsvF1),Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30057.1,ABUW_RS01310,NZ_CP008706.1,Op149
ABUW_0268,czcA,286175,289333,+,cation efflux system protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA30058.1,ABUW_RS01315,NZ_CP008706.1,Op149
ABUW_0269,czcD,289466,290422,+,cation efflux system protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA30059.1,ABUW_RS01320,NZ_CP008706.1,Op150
ABUW_0270,ABUW_0270,290441,290779,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30060.1,ABUW_RS01325,NZ_CP008706.1,
ABUW_0271,ABUW_0271,291053,292000,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30061.1,ABUW_RS01330,NZ_CP008706.1,
ABUW_0274,ABUW_0274,292407,293291,-,hypothetical protein,Amino acid transport and metabolism,,ABUW_1645,CP008706.1,AKA30062.1,ABUW_RS01345,NZ_CP008706.1,Op151
ABUW_0275,ABUW_0275,293410,294828,-,amino-acid permease,Amino acid transport and metabolism,,,CP008706.1,AKA30063.1,ABUW_RS01350,NZ_CP008706.1,Op152
ABUW_0278,gltX,295193,296701,-,glutamyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30064.1,ABUW_RS01365,NZ_CP008706.1,Op152
ABUW_0279,ABUW_0279,296818,297117,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30065.1,ABUW_RS01370,NZ_CP008706.1,Op153
ABUW_0280,sbp,297514,298515,+,thiosulfate-binding protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA30066.1,ABUW_RS01375,NZ_CP008706.1,Op154
ABUW_0281,mraW,298738,299661,+,S-adenosyl-methyltransferase MraW,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30067.1,ABUW_RS01380,NZ_CP008706.1,Op155
ABUW_0282,ftsL,299661,299993,+,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA30068.1,ABUW_RS01385,NZ_CP008706.1,Op155
ABUW_0283,ftsI,300005,301837,+,peptidoglycan glycosyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30069.1,ABUW_RS01390,NZ_CP008706.1,Op155
ABUW_0284,murE,301841,303340,+,UDP-N-acetylmuramyl-tripeptide synthetase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30070.1,ABUW_RS01395,NZ_CP008706.1,Op155
ABUW_0285,murF,303349,304749,+,UDP-N-acetylmuramoylalanyl-D-glutamyl-2%2C6-diaminopimelate--D-alanyl-D-alanyl ligase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30071.1,ABUW_RS01400,NZ_CP008706.1,Op155
ABUW_0286,mraY,304750,305868,+,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30072.1,ABUW_RS01405,NZ_CP008706.1,Op155
ABUW_0287,ABUW_0287,305929,306261,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30073.1,ABUW_RS01410,NZ_CP008706.1,Op156
ABUW_0288,rrm,306264,307088,+,ribosomal RNA large subunit methytransferase A,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30074.1,ABUW_RS01415,NZ_CP008706.1,Op156
ABUW_0289,ABUW_0289,307106,309661,-,penicillin-binding protein 1A,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30075.1,ABUW_RS01420,NZ_CP008706.1,
ABUW_0290,ABUW_0290,309823,310881,+,type IV pilus assembly protein PilM,Cell motility,,,CP008706.1,AKA30076.1,ABUW_RS01425,NZ_CP008706.1,Op157
ABUW_0291,comN,310881,311522,+,type 4 fimbrial biogenesis protein PilN,Cell motility,,,CP008706.1,AKA30077.1,ABUW_RS01430,NZ_CP008706.1,Op157
ABUW_0292,comO,311519,312259,+,pilus assembly protein%2C PilO,Cell motility,,,CP008706.1,AKA30078.1,ABUW_RS01435,NZ_CP008706.1,Op157
ABUW_0293,comL,312270,312797,+,pilus assembly protein%2C PilQ,Cell motility,,,CP008706.1,AKA30079.1,ABUW_RS01440,NZ_CP008706.1,Op157
ABUW_0294,comQ,312860,315025,+,fimbrial assembly protein PilQ,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30080.1,ABUW_RS01445,NZ_CP008706.1,Op158
ABUW_0295,aroK,315037,315606,+,shikimate kinase,Nucleotide transport and metabolism,,,CP008706.1,AKA30081.1,ABUW_RS01450,NZ_CP008706.1,Op158
ABUW_0296,aroB,315635,316717,+,3-dehydroquinate synthase,Amino acid transport and metabolism,,,CP008706.1,AKA30082.1,ABUW_RS01455,NZ_CP008706.1,Op158
ABUW_0297,ABUW_0297,316733,317608,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30083.1,ABUW_RS01460,NZ_CP008706.1,Op158
ABUW_0298,gltB,318069,322544,+,glutamate synthase%2C large subunit,Amino acid transport and metabolism,,NtrC,CP008706.1,AKA30084.1,ABUW_RS01465,NZ_CP008706.1,Op159
ABUW_0299,gltD,322614,324035,+,glutamate synthase%2C small subunit,Amino acid transport and metabolism,,NtrC,CP008706.1,AKA30085.1,ABUW_RS01470,NZ_CP008706.1,Op160
ABUW_0300,ABUW_0300,324211,325098,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30086.1,ABUW_RS01475,NZ_CP008706.1,Op161
ABUW_0301,ABUW_0301,325229,325819,+,LemA,Function unknown,,,CP008706.1,AKA30087.1,ABUW_RS01480,NZ_CP008706.1,Op162
ABUW_0302,ABUW_0302,325841,326923,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30088.1,ABUW_RS01485,NZ_CP008706.1,Op162
ABUW_0303,ABUW_0303,326917,327477,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30089.1,ABUW_RS01490,NZ_CP008706.1,Op162
