,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b0191,214832,215255,+,arfB,423,yaeQ-arfB-nlpE,"Translation, ribosomal structure and biogenesis","peptidyl-tRNA hydrolase, ribosome rescue factor",,,,crp
b0192,215268,215979,+,nlpE,711,yaeQ-arfB-nlpE,Cell wall/membrane/envelope biogenesis,"outer membrane lipoprotein NlpE, involved in surface sensing",,,,crp
b0193,216178,217003,-,yaeF,825,yaeF,Function unknown,predicted lipoprotein,,,,
b0194,217056,218775,-,proS,1719,proS,"Translation, ribosomal structure and biogenesis",proline-tRNA ligase,,,,rpoD
b0195,218886,219594,-,tsaA,708,rcsF-trmO,Function unknown,tRNA m<sup>6</sup>t<sup>6</sup>A37 methyltransferase,,,,
b0196,219590,219995,-,rcsF,405,rcsF-trmO,Cell wall/membrane/envelope biogenesis,RcsF outer membrane lipoprotein - activates the Rcs pathway during envelope stress,,,,
b0197,220112,220928,-,metQ,816,metNIQ,Inorganic ion transport and metabolism,L-methionine / D-methionine ABC transporter - membrane anchored binding protein,,,,"fnr,hypT,metJ,rpoD"
b0198,220967,221621,-,metI,654,metNIQ,Inorganic ion transport and metabolism,L-methionine / D-methionine ABC transporter - membrane subunit,,,,"fnr,hypT,metJ,rpoD"
b0199,221613,222645,-,metN,1032,metNIQ,Inorganic ion transport and metabolism,L-methionine / D-methionine ABC transporter - ATP binding subunit,,,,"fnr,hypT,metJ,rpoD"
b0200,222832,223408,+,gmhB,576,gmhB,Amino acid transport and metabolism,"D,D-heptose 1,7-bisphosphate phosphatase",,,,fnr
b0207,229166,229970,+,dkgB,804,dkgB,Function unknown,"methylglyoxal reductase/4-nitrobenzaldehyde reductase/2,5-diketo-D-gluconate reductase",,,,"nsrR,rpoS"
b0208,229966,230881,-,yafC,915,yafC,Transcription,putative LysR family transcriptional regulator,,,,yafC
b0209,231121,231922,+,yafD,801,yafDE,Function unknown,conserved protein,,,,"nac,rpoH"
b0210,231925,232549,+,yafE,624,yafDE,"Secondary metabolites biosynthesis, transport and catabolism",predicted S-adenosylmethionine-dependent methyltransferase,,,,"nac,rpoH"
b0211,232596,233955,-,mltD,1359,mltD,Cell wall/membrane/envelope biogenesis,membrane-bound lytic murein transglycosylase D,,,,
b0212,234026,234782,-,gloB,756,gloB,Function unknown,glyoxalase II,,,,
b0213,234815,235538,+,yafS,723,yafS,"Secondary metabolites biosynthesis, transport and catabolism",predicted S-adenosyl-L-methionine-dependent methyltransferase,,,,
b0214,235534,236002,-,rnhA,468,rnhA,"Replication, recombination and repair","RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication",,,,
b0215,236066,236798,+,dnaQ,732,dnaQ,"Replication, recombination and repair","DNA polymerase III, &epsilon; subunit",,,,
b0217,237334,238120,+,yafT,786,yafT,Function unknown,predicted aminopeptidase,,,,fnr
b0219,239418,240189,-,yafV,771,yafV,Function unknown,"predicted C-N hydrolase family amidase, NAD(P)-binding",,,,
b0220,240342,240816,+,ivy,474,ivy,Function unknown,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",,,,nac
b0221,240858,243303,-,fadE,2445,fadE,Lipid transport and metabolism,acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase,,,,"arcA,fadR"
b0222,243542,244121,+,gmhA,579,lpcA,Carbohydrate transport and metabolism,D-sedoheptulose 7-phosphate isomerase,,,,
b0223,244326,245094,+,yafJ,768,yafJ,Function unknown,predicted amidotransferase,,,,
b0224,245064,245805,-,yafK,741,yafK,Function unknown,conserved protein,,,,
b0225,245960,246239,-,yafQ,279,dinJ-yafQ,Function unknown,toxin of the YafQ-DinJ toxin-antitoxin system,,,,"lexA,rpoD"
b0226,246241,246502,-,dinJ,261,dinJ-yafQ,"Replication, recombination and repair",DinJ antitoxin of YafQ-DinJ toxin-antitoxin system / DNA-binding transcriptional repressor,,,,"lexA,rpoD"
b0227,246711,247461,+,yafL,750,yafL,Cell wall/membrane/envelope biogenesis,predicted lipoprotein and C40 family peptidase,,,,
b0228,247636,248134,+,rayT,498,rayT,"Replication, recombination and repair",REP-associated tyrosine transposase,,,,
b0229,248357,250070,-,lfhA,1713,lfhA,No COG Annotation,"flagellar system protein, promoterless fragment",,,,
b0230,250071,250827,+,lafU,756,lafU,No COG Annotation,"flagellar system protein, promoterless fragment",,,,
b0231,250897,251953,+,dinB,1056,dinB-yafNOP,"Replication, recombination and repair",DNA polymerase IV (Y-family DNA polymerase, translesion DNA synthesis),,,"lexA,rpoD,rpoS"
b0232,252004,252298,+,yafN,294,dinB-yafNOP,"Cell cycle control, cell division, chromosome partitioning",antitoxin of the YafO-YafN toxin-antitoxin system,,,,"lexA,nac,rpoD,rpoS"
b0233,252300,252699,+,yafO,399,dinB-yafNOP,"Translation, ribosomal structure and biogenesis","ribosome-dependent mRNA interferase, toxin of the YafO-YafN toxin-antitoxin system",,,,"lexA,nac,rpoD,rpoS"
b0234,252708,253161,+,yafP,453,dinB-yafNOP,Transcription,predicted acyltransferase with acyl-CoA N-acyltransferase domain,,,,"lexA,nac,rpoD,rpoS"
b0237,254258,255716,-,pepD,1458,pepD,Amino acid transport and metabolism,peptidase D,,,,"csgD,fur,lrp,rpoD"
b0238,255976,256435,+,gpt,459,gpt,Nucleotide transport and metabolism,xanthine-guanine phsophoribosyltransferase,,,,rpoD
b0239,256526,257771,+,frsA,1245,frsA,Function unknown,fermentation/respiration switch protein,,,,rpoD
b0240_2,258675,259006,+,crl_2,331,crl_1,Transcription,,,,,"rpoD,rpoN,rpoS"
b0241,259044,260100,-,phoE,1056,phoE,Cell wall/membrane/envelope biogenesis,outer membrane porin E,,,,"phoB,rpoD"
b0242,260387,261491,+,proB,1104,proBA,Amino acid transport and metabolism,glutamate 5-kinase,,,,
b0243,261502,262756,+,proA,1254,proBA,Amino acid transport and metabolism,glutamate-5-semialdehyde dehydrogenase,,,,
b0250,265619,266087,-,ykfB,468,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Function unknown,CP4-6 prophage, predicted protein,,,fliA
b0251,266109,266553,-,yafY,444,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Transcription,CP4-6 prophage, inner membrane lipoprotein,,,
b0252,267183,268005,-,yafZ,822,ykfA-yafZ,Function unknown,CP4-6 prophage, conserved protein,,,
b0253,268096,268960,-,ykfA,864,ykfA-yafZ,Function unknown,CP4-6 prophage, predicted GTP-binding protein,,,
b0254,269288,270182,-,perR,894,perR,Transcription,PerR transcriptional regulator,,,,
b0258,272846,273954,+,ykfC,1108,ykfC,No COG Annotation,CP4-6 prophage, conserved protein,,,
b0259,274100,275117,-,insH1,1017,insH-1,"Replication, recombination and repair",CP4-6 prophage, IS5 transposase and trans-activator,,,
b0260,275324,276728,+,mmuP,1404,mmuPM,Amino acid transport and metabolism,<i>S</i>-methyl-L-methionine transporter,,,,
b0261,276714,277647,+,mmuM,933,mmuPM,Amino acid transport and metabolism,homocysteine <i>S</i>-methyltransferase,,,,
b0262,277755,278802,-,afuC,1047,insAB-2A-2B-2-afuBC,Amino acid transport and metabolism,CP4-6 prophage, predicted ferric transporter subunit/ATP-binding component of ABC superfamily,,,
b0264,279177,279681,-,insB1,504,insAB-2A-2B-2-afuBC,"Replication, recombination and repair",IS1 protein InsB,,,,
b0265,279599,279875,-,insA,276,insAB-2A-2B-2-afuBC,"Replication, recombination and repair",IS1 protein InsA,,,,
b0266,280426,280735,-,yagB,309,yagAB-insX,No COG Annotation,CP4-6 prophage, conserved protein,,,
b0267,280828,281983,-,yagA,1155,yagAB-insX,"Replication, recombination and repair",CP4-6 prophage, predicted DNA-binding transcriptional regulator,,,
b0268,282277,283186,+,yagE,909,yagEF,Amino acid transport and metabolism,CP4-6 prophage, probable 2-keto-3-deoxygluconate aldolase,,,
b0269,283200,285168,+,yagF,1968,yagEF,Amino acid transport and metabolism,CP4-6 prophage, D-xylonate dehydratase,,,
b0270,285394,286777,+,yagG,1383,yagGH,Carbohydrate transport and metabolism,"putative transport protein, glycoside-pentoside-hexuronide (GPH):cation symporter family",,,,
b0271,286788,288399,+,yagH,1611,yagGH,Carbohydrate transport and metabolism,CP4-6 prophage, predicted xylosidase/arabinosidase,,,
b0272,288403,289162,-,yagI,759,xynR,Transcription,CP4-6 prophage, predicted DNA-binding transcriptional regulator,,,fur
b0273,289300,290305,-,argF,1005,argF,Amino acid transport and metabolism,ornithine carbamoyltransferase chain F,,,,"argR,fur,rpoD"
b0274,290648,291152,-,insB1,504,insAB-3A-3B-3,"Replication, recombination and repair",,,,,
b0275,291070,291346,-,insA,276,insAB-3A-3B-3,"Replication, recombination and repair",IS1 protein InsA,,,,
b0276,291403,292231,+,yagJ,828,yagJ,No COG Annotation,CP4-6 prophage, predicted protein,,,
b0277,292321,292948,-,yagK,627,yagK,Function unknown,CP4-6 prophage, conserved protein,,,"rcdA,rpoD"
b0278,293219,293918,-,yagL,699,yagML,"Replication, recombination and repair",CP4-6 prophage, DNA-binding protein,,,
b0280,295138,295579,-,yagN,441,yagN,Function unknown,CP4-6 prophage, predicted protein,,,
b0281,295695,297096,-,intF,1401,intF,"Replication, recombination and repair",CP4-6 prophage, predicted phage integrase,,,
b0283,297769,298726,-,paoD,957,paoABCD,"Posttranslational modification, protein turnover, chaperones",molybdenum cofactor insertion chaperone for PaoABC,,,,
b0284,298735,300934,-,paoC,2199,paoABCD,Energy production and conversion,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,,,,
b0285,300930,301887,-,paoB,957,paoABCD,Energy production and conversion,"aldehyde dehydrogenase, FAD-binding subunit",,,,
b0286,301883,302573,-,paoA,690,paoABCD,Energy production and conversion,"aldehyde dehydrogenase, Fe-S subunit",,,,
b0287,302990,303605,+,yagU,615,yagU,Function unknown,inner membrane protein that contributes to acid resistance,,,,
b0288,303852,304182,-,ykgJ,330,ykgJ,Function unknown,predicted ferredoxin,,,,
b0289,304494,305205,-,ecpE,711,ecpBCDE,Function unknown,<i>E. coli</i> common pilus chaperone - cryptic,,,,ybiH
b0290,305173,306817,-,ecpD,1644,ecpBCDE,Function unknown,polymerized tip adhesin of <i>E. coli</i> common pilus - cryptic,,,,
b0291,306806,309332,-,ecpC,2526,ecpBCDE,Function unknown,outer membrane protein associated with <i>E. coli</i> common pilus formation - cryptic,,,,
b0292,309357,310026,-,ecpB,669,ecpBCDE,Function unknown,<i>E. coli</i> common pilus chaperone - cryptic,,,,
b0293,310083,310671,-,ecpA,588,ecpA,Function unknown,<i>E. coli</i> common pilus - major subunit, cryptic,,,rpoD
b0294,310745,311336,-,ecpR,591,ecpR,Transcription,MatA DNA-binding transcriptional dual regulator,,,,"lrp,matA,rpoE"
b0295,312111,312339,+,ykgL,228,ykgL,No COG Annotation,putative protein,,,,
b0296,312513,312777,-,ykgM,264,ykgMO,"Translation, ribosomal structure and biogenesis",predicted ribosomal protein,,,,"rpoD,zur"
b0300,316485,317169,-,ykgA,684,ykgA,No COG Annotation,predicted DNA-binding transcriptional regulator,,,,argR
b0304,318675,320001,-,rclA,1326,rclABC,Energy production and conversion,predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain, hypochlorite stress response,,,"rclR,rpoE"
b0305,320226,321081,+,rclR,855,rclR,Transcription,RclR DNA-binding transcriptional activator,,,,
b0306,321607,322327,+,ykgE,720,ykgEFG,Energy production and conversion,predicted oxidoreductase,,,,"lrp,yieP"
b0307,322337,323765,+,ykgF,1428,ykgEFG,Energy production and conversion,predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,,,,lrp
b0308,323757,324453,+,ykgG,696,ykgEFG,Function unknown,putative protein,,,,lrp
b0311,325576,327247,-,betA,1671,betIBA,Amino acid transport and metabolism,choline dehydrogenase,,,,"arcA,betI,cra,rpoD"
b0312,327260,328733,-,betB,1473,betIBA,Energy production and conversion,betaine aldehyde dehydrogenase,,,,"arcA,betI,cra,rpoD"
b0313,328746,329334,-,betI,588,betIBA,Transcription,BetI DNA-binding transcriptional repressor,,,,"arcA,betI,cra,rpoD"
b0314,329462,331496,+,betT,2034,betT,Inorganic ion transport and metabolism,choline:H<sup>+</sup> symporter,,,,"arcA,betI,cra,rpoD"
b0315,332370,333459,+,yahA,1089,pdeL,Signal transduction mechanisms,"DNA-binding transcriptional activator / phosphodiesterase, c-di-GMP-specific",,,,"argR,cra,pdeL,rpoD"
b0316,333500,334433,-,yahB,933,yahB,Transcription,"predicted DNA-binding transcriptional regulator, LysR-type",,,,
b0318,335279,335885,+,yahD,606,yahDEFG,Function unknown,predicted transcriptional regulator with ankyrin domain,,,,
b0320,336777,338325,+,yahF,1548,yahDEFG,Energy production and conversion,predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain,,,,
b0321,338324,339743,+,yahG,1419,yahDEFG,Function unknown,conserved protein,,,,
b0323,340164,341115,+,yahI,951,yahIJ,Amino acid transport and metabolism,predicted carbamate kinase-like protein,,,,
b0324,341124,342507,+,yahJ,1383,yahIJ,Nucleotide transport and metabolism,predicted deaminase with metallo-dependent hydrolase domain,,,,
b0325,342883,343933,+,yahK,1050,yahK,Energy production and conversion,"aldehyde reductase, NADPH-dependent",,,,
b0328,345665,346337,-,yahN,672,yahN,Amino acid transport and metabolism,"putative transporter, resistance to homoserine/threonine (RhtB) family",,,,
b0329,346483,346759,+,yahO,276,yahO,Function unknown,putative protein,,,,
b0330,346856,348443,-,prpR,1587,prpR,Transcription,PrpR DNA-binding transcriptional dual regulator,,,,"ascG,crp,phoB,prpR,rpoD"
b0331,348681,349572,+,prpB,891,prpBCDE,Carbohydrate transport and metabolism,2-methylisocitrate lyase,,,,"cra,crp,prpR,rpoN"
b0333,350011,351181,+,prpC,1170,prpBCDE,Energy production and conversion,2-methylcitrate synthase,,,,"cra,crp,prpR,rpoN"
b0334,351214,352666,+,prpD,1452,prpBCDE,Function unknown,2-methylcitrate dehydratase,,,,"cra,crp,prpR,rpoN"
b0335,352705,354592,+,prpE,1887,prpBCDE,Lipid transport and metabolism,propionyl-CoA synthetase,,,,"cra,crp,prpR,rpoN"
b0336,354921,356181,+,codB,1260,codBA,Nucleotide transport and metabolism,cytosine transporter,,,,"nac,purR,rpoD"
b0337,356170,357454,+,codA,1284,codBA,Nucleotide transport and metabolism,cytosine deaminase,,,,"nac,purR,rpoD"
b0338,357790,358690,-,cynR,900,cynR,Transcription,CynR DNA-binding transcriptional dual regulator,,,,"cynR,nac,rpoD"
b0339,358798,359458,+,cynT,660,cynTSX,Inorganic ion transport and metabolism,carbonic anhydrase 1,,,,"cynR,nac,rpoD"
b0340,359488,359959,+,cynS,471,cynTSX,Inorganic ion transport and metabolism,cyanase,,,,"cynR,nac,rpoD"
b0341,359991,361146,+,cynX,1155,cynTSX,Carbohydrate transport and metabolism,cyanate transporter,,,,"cynR,rpoD"
b0342,361248,361860,-,lacA,612,lacZYA,Function unknown,galactoside O-acetyltransferase,,,,"crp,h-NS,lacI,rpoD"
b0343,361925,363179,-,lacY,1254,lacZYA,Carbohydrate transport and metabolism,lactose / melibiose:H<sup>+</sup> symporter LacY,,,,"crp,h-NS,lacI,rpoD,yeiE"
b0344,363230,366305,-,lacZ,3075,lacZYA,Carbohydrate transport and metabolism,&beta,-galactosidase,,,"crp,h-NS,lacI,rpoD"
b0345,366427,367510,-,lacI,1083,mhpR-lacI,Transcription,LacI DNA-binding transcriptional repressor,,,,"arcA,crp,rpoD"
b0346,367586,368420,-,mhpR,834,mhpR-lacI,Transcription,MhpR transcriptional activator,,,,"arcA,crp,rpoD,ybaQ"
b0347,368610,370275,+,mhpA,1665,mhpABCDFE,Energy production and conversion,3-(3-hydroxyphenyl)propionate 2-hydroxylase,,,,"arcA,crp,mhpR,rpoD,ybaQ"
b0348,370276,371221,+,mhpB,945,mhpABCDFE,"Secondary metabolites biosynthesis, transport and catabolism","2,3-dihydroxyphenylpropionate 1,2-dioxygenase",,,,"arcA,crp,mhpR,rpoD"
b0349,371238,372105,+,mhpC,867,mhpABCDFE,Function unknown,"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase",,,,"arcA,crp,mhpR,rpoD"
b0350,372114,372924,+,mhpD,810,mhpABCDFE,"Secondary metabolites biosynthesis, transport and catabolism",2-hydroxypentadienoate hydratase,,,,"arcA,crp,mhpR,rpoD"
b0351,372920,373871,+,mhpF,951,mhpABCDFE,"Secondary metabolites biosynthesis, transport and catabolism",acetaldehyde dehydrogenase (acylating),,,,"arcA,crp,mhpR,rpoD"
b0352,373867,374881,+,mhpE,1014,mhpABCDFE,Amino acid transport and metabolism,4-hydroxy-2-ketovalerate aldolase,,,,"arcA,crp,mhpR,rpoD"
b0353,375458,376670,+,mhpT,1212,mhpT,No COG Annotation,3-hydroxyphenylpropionate / 3-hydroxycinnamate:H<sup>+</sup> symporter,,,,"nsrR,rpoH"
b0354,376771,377311,+,yaiL,540,yaiL,Function unknown,nucleoprotein/polynucleotide-associated enzyme,,,,
b0355,377534,378368,-,frmB,834,frmRAB,Function unknown,<i>S</i>-formylglutathione hydrolase,,,,
b0356,378461,379571,-,frmA,1110,frmRAB,Energy production and conversion,formaldehyde dehydrogenase,,,,
b0357,379605,379881,-,frmR,276,frmRAB,Function unknown,regulator protein,,,,
b0358,380068,380842,-,yaiO,774,yaiX_2O,No COG Annotation,outer membrane protein,,,,
b0363,382738,383935,-,yaiP,1197,yaiP,Cell wall/membrane/envelope biogenesis,predicted glucosyltransferase,,,,
b0365,385231,386194,+,tauA,963,tauABCD,Inorganic ion transport and metabolism,taurine ABC transporter - periplasmic binding protein,,,,"cbl,cysB"
b0366,386206,386974,+,tauB,768,tauABCD,Inorganic ion transport and metabolism,taurine ABC transporter - ATP binding subunit,,,,"cbl,cysB"
b0367,386970,387798,+,tauC,828,tauABCD,Inorganic ion transport and metabolism,taurine ABC transporter - membrane subunit,,,,"cbl,cysB"
b0368,387794,388646,+,tauD,852,tauABCD,"Secondary metabolites biosynthesis, transport and catabolism",taurine dioxygenase,,,,"cbl,cysB"
b0369,388752,389727,-,hemB,975,hemB,Coenzyme transport and metabolism,porphobilinogen synthase,,,,rpoD
b0372,391738,392605,-,insF1,867,insEF-2E-2F-2,"Replication, recombination and repair",,,,,
b0373,392601,392901,-,insE1,300,insEF-2E-2F-2,"Replication, recombination and repair",IS3 element protein InsE,,,,
b0376,395129,396287,-,ampH,1158,ampH,Defense mechanisms,DD-endopeptidase/DD-carboxypeptidase,,,,
b0377,396638,397859,+,sbmA,1221,sbmA-yaiW,Lipid transport and metabolism,peptide antibiotic / peptide nucleic acid transporter,,,,"cpxR,rpoE"
b0378,397871,398966,+,yaiW,1095,sbmA-yaiW,Function unknown,surface exposed outer membrane lipoprotein,,,,"cpxR,rpoE"
b0379,399024,399333,-,yaiY,309,yaiY,Function unknown,inner membrane protein,,,,"crp,nac"
b0380,399592,399805,+,yaiZ,213,yaiZ,Function unknown,predicted inner membrane protein,,,,"crp,nac"
b0381,399828,400923,-,ddlA,1095,ddlA,Cell wall/membrane/envelope biogenesis,D-alanine-D-alanine ligase A,,,,"fnr,nac,ydcI"
b0382,401385,401646,+,iraP,261,iraP,Signal transduction mechanisms,anti-adaptor protein for &sigma,<sup>S</sup> stabilization,,,"csgD,fnr,gadE,rpoD,ydcI"
b0383,401746,403162,+,phoA,1416,phoA-psiF,Inorganic ion transport and metabolism,alkaline phosphatase,,,,"phoB,rpoD"
b0384,403280,403601,+,psiF,321,phoA-psiF,Function unknown,conserved protein,,,,"phoB,rpoD"
b0385,403702,404818,+,yaiC,1116,dgcC,Signal transduction mechanisms,diguanylate cyclase,,,,"csgD,rpoS"
b0386,404834,405644,-,proC,810,proC,Amino acid transport and metabolism,pyrroline-5-carboxylate reductase,,,,
b0387,405763,406222,+,yaiI,459,yaiI,Function unknown,conserved protein,,,,
b0388,406404,406929,+,aroL,525,aroL-yaiA-aroM,Amino acid transport and metabolism,shikimate kinase II,,,,"rpoD,trpR,tyrR"
b0389,406978,407170,+,yaiA,192,aroL-yaiA-aroM,Function unknown,putative protein,,,,"rpoD,trpR,tyrR"
b0390,407427,408105,+,aroM,678,aroL-yaiA-aroM,Function unknown,conserved protein,,,,"rpoD,trpR,tyrR"
b0391,408176,408461,+,yaiE,285,ppnP,Function unknown,conserved protein,,,,
b0392,408608,408950,+,ykiA,342,ykiA,No COG Annotation,putative protein,,,,
b0393,409107,410019,-,rdgC,912,rdgC,"Replication, recombination and repair",nucleoid-associated protein RdgC,,,,
b0394,410143,411052,+,mak,909,mak,Carbohydrate transport and metabolism,manno(fructo)kinase,,,,
b0396,411296,412481,-,araJ,1185,araJ,Carbohydrate transport and metabolism,"putative transport protein, major facilitator superfamily",,,,"araC,crp,rpoD"
b0397,412606,415753,-,sbcC,3147,sbcDC,"Replication, recombination and repair","ATP dependent, structure specific DNA nuclease - SbcC subunit",,,,"phoB,rpoD"
b0398,415749,416952,-,sbcD,1203,sbcDC,"Replication, recombination and repair","ATP dependent, structure specific DNA nuclease - SbcD subunit",,,,"phoB,rpoD"
b0399,417141,417831,+,phoB,690,phoBR,Signal transduction mechanisms,PhoB transcriptional dual regulator,,,,"phoB,rpoD"
b0400,417888,419184,+,phoR,1296,phoBR,Signal transduction mechanisms,PhoR,,,,"phoB,rpoD"
b0401,419590,420910,+,brnQ,1320,brnQ-proY,Amino acid transport and metabolism,branched chain amino acid transporter BrnQ,,,,lrp
b0402,420985,422359,+,proY,1374,brnQ-proY,Amino acid transport and metabolism,proline:H+ symporter  - cryptic,,,,lrp
b0403,422517,424332,+,malZ,1815,malZ,Carbohydrate transport and metabolism,maltodextrin glucosidase,,,,malT
b0404,424336,424918,-,acpH,582,acpH,Function unknown,acyl carrier protein phosphodiesterase,,,,
b0405,425010,426081,+,queA,1071,queA,"Translation, ribosomal structure and biogenesis",S-adenosylmethionine:tRNA ribosyltransferase-isomerase,,,,fis
b0406,426136,427264,+,tgt,1128,tgt-yajC-secDF,"Translation, ribosomal structure and biogenesis",tRNA-guanine transglycosylase,,,,
b0407,427286,427619,+,yajC,333,tgt-yajC-secDF,"Intracellular trafficking, secretion, and vesicular transport",YajC,,,,
b0408,427646,429494,+,secD,1848,tgt-yajC-secDF,"Intracellular trafficking, secretion, and vesicular transport",SecD,,,,
b0409,429504,430476,+,secF,972,tgt-yajC-secDF,"Intracellular trafficking, secretion, and vesicular transport",SecF,,,,
