,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b0170,tsf,,190857,191708,+,protein chain elongation factor EF-Ts,"Translation, ribosomal structure and biogenesis",P0A6P1,"RpoD,RpsB,ppGpp",tff-rpsB-tsf,852.0
b0171,pyrH,,191855,192580,+,UMP kinase,Nucleotide transport and metabolism,P0A7E9,RpoD,pyrH,726.0
b0172,frr,,192872,193429,+,ribosome-recycling factor,"Translation, ribosomal structure and biogenesis",P0A805,"RpoD,ppGpp",frr,558.0
b0173,dxr,,193521,194717,+,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,P45568,,dxr,1197.0
b0174,ispU,,194903,195664,+,undecaprenyl diphosphate synthase,Lipid transport and metabolism,P60472,ppGpp,ispU,762.0
b0175,cdsA,,195677,196534,+,CDP-diglyceride synthetase,Lipid transport and metabolism,P0ABG1,ppGpp,cdsA,858.0
b0176,rseP,,196546,197898,+,intramembrane zinc metalloprotease,Cell wall/membrane/envelope biogenesis,P0AEH1,RpoE,rseP,1353.0
b0177,bamA,,197928,200360,+,outer membrane protein assembly factor BamA,Cell wall/membrane/envelope biogenesis,P0A940,"RpoE,YbiH",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,2433.0
b0178,skp,,200482,200967,+,periplasmic chaperone Skp,Cell wall/membrane/envelope biogenesis,P0AEU7,"RpoE,cpxQ,GadE,CpxR",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,486.0
b0179,lpxD,,200971,201996,+,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Cell wall/membrane/envelope biogenesis,P21645,"RpoE,GadE,CpxR",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,1026.0
b0180,fabZ,,202101,202556,+,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,Lipid transport and metabolism,P0A6Q6,"RpoE,GadE,CpxR",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,456.0
b0181,lpxA,,202560,203348,+,UDP-N-acetylglucosamine acyltransferase,Cell wall/membrane/envelope biogenesis,P0A722,"RpoE,GadE,CpxR",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,789.0
b0182,lpxB,,203348,204496,+,lipid A disaccharide synthase,Cell wall/membrane/envelope biogenesis,P10441,"RpoE,ppGpp",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,1149.0
b0183,rnhB,,204493,205089,+,RNase HII,"Replication, recombination and repair",P10442,"RpoE,ppGpp",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,597.0
b0184,dnaE,,205126,208608,+,DNA polymerase III subunit alpha,"Replication, recombination and repair",P10443,"RpoE,ppGpp",bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,3483.0
b0185,accA,,208621,209580,+,acetyl-CoA carboxyltransferase subunit alpha,Lipid transport and metabolism,P0ABD5,"RpoD,FadR,AccDA",accA,960.0
b0186,ldcC,,209679,211820,+,lysine decarboxylase 2,Amino acid transport and metabolism,P52095,"YfeC,RpoS,GlaR",ldcC,2142.0
b0187,yaeR,,211877,212266,+,VOC domain-containing protein YaeR,Amino acid transport and metabolism,P52096,,yaeR,390.0
b0188,tilS,,212331,213629,+,tRNA(Ile)-lysidine synthetase,"Translation, ribosomal structure and biogenesis",P52097,,tilS,1299.0
b0189,rof,,213678,213932,-,modulator of Rho-dependent transcription termination,Transcription,P0AFW8,"YidZ,Crp,ppGpp",yaeP-rof,255.0
b4406,yaeP,,213925,214125,-,UPF0253 family protein YaeP,Function unknown,P0A8K5,"Crp,ppGpp",yaeP-rof,201.0
b0190,yaeQ,,214291,214836,+,uncharacterized protein YaeQ,Function unknown,P0AA97,"Crp,Lrp",yaeQ-arfB-nlpE,546.0
b0191,arfB,,214833,215255,+,peptidyl-tRNA hydrolase%2C ribosome rescue factor,"Translation, ribosomal structure and biogenesis",P40711,Crp,yaeQ-arfB-nlpE,423.0
b0192,nlpE,,215269,215979,+,lipoprotein NlpE,Cell wall/membrane/envelope biogenesis,P40710,"Crp,Nac",yaeQ-arfB-nlpE,711.0
b0193,yaeF,,216179,217003,-,peptidase C92 family protein,Cell wall/membrane/envelope biogenesis,P37056,Nac,yaeF,825.0
b0194,proS,,217057,218775,-,proline--tRNA ligase,"Translation, ribosomal structure and biogenesis",P16659,RpoD,proS,1719.0
b0195,trmO,,218887,219594,-,tRNA m(6)t(6)A37 methyltransferase,Function unknown,P28634,,rcsF-trmO,708.0
b0196,rcsF,,219591,219995,-,outer membrane lipoprotein RcsF,Cell wall/membrane/envelope biogenesis,P69411,,rcsF-trmO,405.0
b0197,metQ,,220113,220928,-,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,P28635,"RpoD,MetJ,HypT",metNIQ,816.0
b0198,metI,,220968,221621,-,L-methionine/D-methionine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31547,"RpoD,MetJ,ppGpp,HypT",metNIQ,654.0
b0199,metN,,221614,222645,-,L-methionine/D-methionine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P30750,"RpoD,MetJ,ppGpp,HypT",metNIQ,1032.0
b0200,gmhB,,222833,223408,+,D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,Nucleotide transport and metabolism,P63228,,gmhB,576.0
b0207,dkgB,,229167,229970,+,methylglyoxal reductase DkgB,Function unknown,P30863,"RpoS,NsrR",dkgB,804.0
b0208,yafC,,229967,230881,-,putative LysR family transcriptional regulator YafC,Transcription,P30864,"YafC,ppGpp,Nac",yafC,915.0
b0209,yafD,,231122,231922,+,endonuclease/exonuclease/phosphatase domain-containing protein YafD,Function unknown,P0A8U2,"RpoH,ppGpp,Nac",yafDE,801.0
b0210,yafE,,231926,232549,+,putative S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P30866,RpoH,yafDE,624.0
b0211,mltD,,232597,233955,-,membrane-bound lytic murein transglycosylase D,Cell wall/membrane/envelope biogenesis,P0AEZ7,"YdcN,ppGpp,Nac",mltD,1359.0
b0212,gloB,,234027,234782,-,hydroxyacylglutathione hydrolase GloB,Function unknown,P0AC84,,gloB,756.0
b0213,yafS,,234816,235538,+,putative S-adenosyl-L-methionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P75672,,yafS,723.0
b0214,rnhA,,235535,236002,-,ribonuclease HI,"Replication, recombination and repair",P0A7Y4,,rnhA,468.0
b0215,dnaQ,,236067,236798,+,DNA polymerase III subunit epsilon,"Replication, recombination and repair",P03007,,dnaQ,732.0
b0217,yafT,,237335,238120,+,lipoprotein YafT,No COG annotation,P77339,ppGpp,yafT,786.0
b0218,yafU,,238746,239084,-,putative inner membrane protein,Function unknown,,"RpoH,gcvB",,
b4503,yafF,,239190,239378,+,putative uncharacterized protein YafF,"Replication, recombination and repair",,,,
b0219,yafV,,239419,240189,-,2-oxoglutaramate amidase,Function unknown,Q47679,"ppGpp,Nac",yafV,771.0
b0220,ivy,,240343,240816,+,periplasmic chaperone%2C inhibitor of vertebrate C-type lysozyme,"Post-translational modification, protein turnover,and chaperones",P0AD59,"ppGpp,Nac",ivy,474.0
b0221,fadE,,240859,243303,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,Q47146,"ArcA,ppGpp,FadR,OmpR",fadE,2445.0
b0222,lpcA,,243543,244121,+,D-sedoheptulose 7-phosphate isomerase,Carbohydrate transport and metabolism,P63224,OmpR,lpcA,579.0
b0223,yafJ,,244327,245094,+,putative amidotransferase,Function unknown,Q47147,,yafJ,768.0
b0224,yafK,,245065,245805,-,L%2CD-transpeptidase domain-containing protein YafK,Cell wall/membrane/envelope biogenesis,P0AA99,Nac,yafK,741.0
b0225,yafQ,,245961,246239,-,ribosome-dependent mRNA interferase toxin YafQ,Function unknown,Q47149,"RpoD,YfeC,LexA,DinJ-YafQ,Nac",dinJ-yafQ,279.0
b0226,dinJ,,246242,246502,-,antitoxin/DNA-binding transcriptional repressor DinJ,Transcription,Q47150,"RpoD,LexA,DinJ-YafQ,Nac",dinJ-yafQ,261.0
b0227,yafL,,246712,247461,+,NlpC/P60 family protein YafL,Cell wall/membrane/envelope biogenesis,Q47151,,yafL,750.0
b0228,rayT,,247637,248134,+,REP-associated tyrosine transposase,"Replication, recombination and repair",Q47152,ppGpp,rayT,498.0
b0229,lfhA,,248358,250070,-,flagellar system protein%2C promoterless fragment,Cell motility,,,lfhA,1713.0
b0230,lafU,,250072,250827,+,flagellar system protein%2C promoterless fragment,Cell motility,,,lafU,756.0
b0231,dinB,,250898,251953,+,DNA polymerase IV,"Replication, recombination and repair",Q47155,"RpoD,YcjW,RpoS,LexA",dinB-yafNOP,1056.0
b0232,yafN,,252005,252298,+,antitoxin YafN,"Cell cycle control, cell division, chromosome partitioning",Q47156,"RpoD,RpoS,LexA,Nac",dinB-yafNOP,294.0
b0233,yafO,,252301,252699,+,ribosome-dependent mRNA interferase toxin YafO,Function unknown,Q47157,"RpoD,YihW,RpoS,LexA,Nac",dinB-yafNOP,399.0
b0234,yafP,,252709,253161,+,putative acyltransferase with acyl-CoA N-acyltransferase domain,Transcription,Q47158,"RpoD,RpoS,LexA",dinB-yafNOP,453.0
b0235,ykfJ,,253467,253733,+,conserved protein YkfJ,Function unknown,,,,
b0236,prfH,,253702,254202,+,putative peptide chain release factor,"Translation, ribosomal structure and biogenesis",,,,
b0237,pepD,,254259,255716,-,peptidase D,Amino acid transport and metabolism,P15288,"RpoD,CsgD,Lrp",pepD,1458.0
b0238,gpt,,255977,256435,+,xanthine-guanine phsophoribosyltransferase,Nucleotide transport and metabolism,P0A9M5,"RpoD,ppGpp,Lrp",gpt,459.0
b0239,frsA,,256527,257771,+,fermentation-respiration switch protein,Function unknown,P04335,"RpoD,YfeC",frsA,1245.0
b4710,insB9,,257923,258426,-,IS1 transposase B,"Replication, recombination and repair",UPI00000002DE,,,
b4709,insA9,,258345,258620,-,IS1 repressor TnpA,"Replication, recombination and repair",UPI00000009E0,,,
b0241,phoE,,259045,260100,-,outer membrane porin PhoE,Cell wall/membrane/envelope biogenesis,P02932,"RpoD,PhoB,micF",phoE,1056.0
b0242,proB,,260388,261491,+,glutamate 5-kinase,Nucleotide transport and metabolism,P0A7B5,,proBA,1104.0
b0243,proA,,261503,262756,+,glutamate-5-semialdehyde dehydrogenase,Amino acid transport and metabolism,P07004,,proBA,1254.0
b0245,ykfI,,263328,263669,-,CP4-6 prophage%3B toxin of the YkfI-YafW toxin-antitoxin system,Function unknown,P77692,"FliA,ppGpp",,
b0246,yafW,,263690,264007,-,antitoxin of the YkfI-YafW toxin-antitoxin pair,Function unknown,Q47684,"FliA,ppGpp",,
b4504,ykfH,,264026,264247,-,DUF987 domain-containing protein YkfH,Function unknown,Q9XB42,FliA,,
b0247,ykfG,,264256,264732,-,CP4-6 prophage%3B RadC-like JAB domain-containing protein YkfG,Amino acid transport and metabolism,Q47685,"YbaQ,FliA",,
b0248,yafX,,264748,265206,-,CP4-6 prophage%3B protein YafX,Function unknown,P75676,FliA,,
b0249,ykfF,,265304,265543,-,CP4-6 prophage%3B protein YkfF,Function unknown,P75677,FliA,,
b0250,ykfB,,265620,266087,-,CP4-6 prophage%3B protein YkfB,No COG annotation,P77162,"omrA,FliA,ppGpp",yafY-ykfBF-yafX-ykfGH-yafW-ykfI,468.0
b0251,yafY,,266110,266553,-,CP4-6 prophage%3B inner membrane lipoprotein YafY,Transcription,P77365,,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,444.0
b0252,yafZ,,267184,268005,-,CP4-6 prophage%3B conserved protein YafZ,Function unknown,P77206,,ykfA-yafZ,822.0
b0253,ykfA,,268097,268960,-,CP4-6 prophage%3B putative GTP-binding protein YkfA,Function unknown,P75678,,ykfA-yafZ,864.0
b0254,perR,,269289,270182,-,putative transcriptional regulator PerR,Transcription,Q57083,,perR,894.0
b4587,insN,,270278,270540,+,CP4-6 prophage%3B IS911A regulator fragment,"Translation, ribosomal structure and biogenesis",,RpoS,,
b0256,insI-1,,270603,271754,+,IS30 transposase,"Replication, recombination and repair",P0CF88,"RpoS,ppGpp,RpoS",,
b0258,ykfC,,272847,273992,+,CP4-6 prophage%3B PF00078 domain-containing protein YkfC,"Replication, recombination and repair",UPI00005288C6,YciT,ykfC,1108.0
b0259,insH-1,,274101,275117,-,CP4-6 prophage%3B IS5 transposase and trans-activator,"Replication, recombination and repair",A0A385XJE6,,insH-1,1017.0
b0260,mmuP,,275325,276728,+,S-methyl-L-methionine transporter,Amino acid transport and metabolism,Q47689,,mmuPM,1404.0
b0261,mmuM,,276715,277647,+,homocysteine S-methyltransferase,Amino acid transport and metabolism,Q47690,,mmuPM,933.0
b0262,afuC,,277756,278802,-,CP4-6 prophage%3B ABC transporter ATP-binding protein AfuC,Amino acid transport and metabolism,P37009,,insAB-2A-2B-2-afuBC,1047.0
b0263,afuB,,278814,279162,-,CP4-6 prophage%3B ABC transporter membrane protein AfuB,No COG annotation,,,,
b0264,insB-2,,279178,279681,-,IS1 protein InsB,"Replication, recombination and repair",P0CF26,,insAB-2A-2B-2-afuBC,504.0
b0265,insA-2,,279600,279875,-,IS1 protein InsA,"Replication, recombination and repair",P0CF08,,insAB-2A-2B-2-afuBC,276.0
b0266,yagB,,280385,280735,-,orphan antitoxin YagB,Function unknown,UPI000013A09F,XynR,yagAB-insX,309.0
b0267,yagA,,280829,281983,-,CP4-6 prophage%3B integrase core domain-containing protein YagA,"Replication, recombination and repair",P37007,XynR,yagAB-insX,1155.0
b0268,yagE,,282278,283186,+,CP4-6 prophage%3B putative 2-keto-3-deoxygluconate aldolase,Amino acid transport and metabolism,P75682,XynR,yagEF,909.0
b0269,yagF,,283201,285168,+,CP4-6 prophage%3B D-xylonate dehydratase,Amino acid transport and metabolism,P77596,XynR,yagEF,1968.0
b0270,yagG,,285395,286777,+,putative D-xylonate transporter YagG,Carbohydrate transport and metabolism,P75683,,yagGH,1383.0
b0271,yagH,,286789,288399,+,CP4-6 prophage%3B putative xylosidase/arabinosidase,Carbohydrate transport and metabolism,P77713,ppGpp,yagGH,1611.0
b0272,xynR,,288404,289162,-,CP4-6 prophage%3B DNA-binding transcriptional repressor XynR,Transcription,P77300,,xynR,759.0
b0273,argF,,289301,290305,-,CP4-6 prophage%3B ornithine carbamoyltransferase ArgF,Amino acid transport and metabolism,P06960,"RpoD,ArgR,ppGpp",argF,1005.0
b4688,ykgS,,290510,290638,+,CP4-6 prophage%3B protein YkgS,Function unknown,UPI0002C9E6EE,,ykgS,205.0
b0274,insB-3,,290649,291152,-,IS1 protein InsB,"Replication, recombination and repair",P0CF26,,insAB-3A-3B-3,504.0
b0275,insA-3,,291071,291346,-,IS1 protein InsA,"Replication, recombination and repair",P0CF08,,insAB-3A-3B-3,276.0
b0276,yagJ,,291500,292231,+,CP4-6 prophage%3B protein YagJ,Transcription,UPI000013A0A9,,yagJ,828.0
b0277,yagK,,292322,292948,-,CP4-6 prophage%3B uncharacterized protein YagK,Function unknown,P77657,"RpoD,RcdA",yagK,627.0
b0278,yagL,,293220,293918,-,CP4-6 prophage%3B resolvase-like catalytic domain-containing protein YagL,"Replication, recombination and repair",P77607,,yagML,699.0
b4729,ykgV,,294918,295142,-,protein YkgV,No COG annotation,UPI0001DE566D,,,
b0280,yagN,,295139,295579,-,CP4-6 prophage%3B protein YagN,No COG annotation,P71297,ppGpp,yagN,441.0
b0281,intF,,295696,297096,-,CP4-6 prophage%3B putative phage integrase,"Translation, ribosomal structure and biogenesis",P71298,,intF,1401.0
b0282,yagP,,297381,297791,-,putative LysR family substrate binding domain-containing protein YagP,Transcription,UPI000013A0AE,YidZ,,
b0283,paoD,,297770,298726,-,molybdenum cofactor insertion chaperone for PaoABC,"Post-translational modification, protein turnover,and chaperones",P77183,,paoABCD,957.0
b0284,paoC,,298736,300934,-,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,Nucleotide transport and metabolism,P77489,,paoABCD,2199.0
b0285,paoB,,300931,301887,-,aldehyde dehydrogenase%2C FAD-binding subunit,Nucleotide transport and metabolism,P77324,,paoABCD,957.0
b0286,paoA,,301884,302573,-,aldehyde dehydrogenase%2C Fe-S subunit,Nucleotide transport and metabolism,P77165,,paoABCD,690.0
b0287,yagU,,302991,303605,+,inner membrane protein that contributes to acid resistance,Function unknown,P0AAA1,"YfeC,YfeD,ppGpp,Lrp,Nac",yagU,615.0
b0288,ykgJ,,303853,304182,-,putative zinc- or iron-chelating domain-containing protein YkgJ,Function unknown,P0AAL9,,ykgJ,330.0
b0289,ecpE,,304495,305205,-,putative fimbrial chaperone EcpE,Cell motility,P77263,YbiH,ecpBCDE,711.0
b0290,ecpD,,305174,306817,-,fimbrial adhesin EcpD,Function unknown,P77694,,ecpBCDE,1644.0
b0291,ecpC,,306807,309332,-,putative fimbrial usher protein EcpC,Cell motility,P77802,,ecpBCDE,2526.0
b0292,ecpB,,309358,310026,-,putative fimbrial chaperone EcpB,Cell wall/membrane/envelope biogenesis,P77188,,ecpBCDE,669.0
b0293,ecpA,,310084,310671,-,common pilus major subunit,Function unknown,P0AAA3,"RpoD,EcpR",ecpA,588.0
b0294,ecpR,,310746,311336,-,DNA-binding transcriptional dual regulator MatA,Transcription,P71301,"RpoE,EcpR",ecpR,591.0
b0295,ykgL,,312112,312339,+,uncharacterized protein YkgL,No COG annotation,P56257,Nac,ykgL,228.0
b4506,ykgO,,312374,312514,-,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",Q2EEQ2,"RpoD,Zur",ykgMO,141.0
b0296,ykgM,,312514,312777,-,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",P0A7N1,"RpoD,Zur",ykgMO,264.0
b4671,ykgR,,313141,313242,-,putative membrane protein YkgR,No COG annotation,C1P5Z8,"RpoD,Crp",,
b0297,eaeH,,314357,315244,+,putative porin domain-containing protein EaeH,Cell wall/membrane/envelope biogenesis,,,,
b0298,insE-1,,315291,315590,+,IS3 element protein InsE,"Replication, recombination and repair",P0CF66,,,
b0299,insF-1,,315587,316453,+,IS3 element protein InsF,"Replication, recombination and repair",P0CF79,,,
b0300,ykgA,,316450,317136,-,putative DNA-binding transcriptional regulator YkgA,Transcription,,ArgR,ykgA,684.0
b0301,rclC,,317726,318319,-,reactive chlorine species resistance protein C,Function unknown,P75685,"omrB,RpoE,RclR",,
b0304,rclA,,318676,320001,-,putative pyridine nucleotide-disulfide oxidoreductase RclA,Energy production and conversion,P77212,"omrA,omrB,RpoE,RclR",rclABC,1326.0
b0305,rclR,,320227,321081,+,DNA-binding transcriptional activator RclR,Transcription,P77379,,rclR,855.0
b0306,ykgE,,321608,322327,+,putative lactate utilization oxidoreductase YkgE,Energy production and conversion,P77252,"YieP,Lrp,Nac",ykgEFG,720.0
b0307,ykgF,,322338,323765,+,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,Energy production and conversion,P77536,"YieP,ppGpp",ykgEFG,1428.0
b0308,ykgG,,323758,324453,+,DUF162 domain-containing lactate utilization protein YkgG,Function unknown,P77433,YieP,ykgEFG,696.0
b0310,ykgH,,324696,325364,-,uncharacterized protein YkgH,No COG annotation,P77180,Nac,,
b0311,betA,,325577,327247,-,choline dehydrogenase,Amino acid transport and metabolism,P17444,"RpoD,ArcA,Cra,BetI,ppGpp",betIBA,1671.0
b0312,betB,,327261,328733,-,betaine aldehyde dehydrogenase,Energy production and conversion,P17445,"RpoD,ArcA,Cra,BetI,ppGpp",betIBA,1473.0
b0313,betI,,328747,329334,-,DNA-binding transcriptional repressor BetI,Transcription,P17446,"RpoD,ArcA,Cra,BetI,ppGpp",betIBA,588.0
b0314,betT,,329463,331496,+,choline:H(+) symporter,Cell wall/membrane/envelope biogenesis,P0ABC9,"RpoD,ArcA,Cra,BetI",betT,2034.0
b0315,pdeL,,332371,333459,+,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,Transcription,P21514,"RpoD,ppGpp,Cra,PdeL,Nac",pdeL,1089.0
b0316,yahB,,333501,334433,-,putative LysR-type DNA-binding transcriptional regulator YahB,Transcription,P77700,,yahB,933.0
b0317,yahC,,334525,335022,-,uncharacterized protein YahC,Function unknown,P77219,YfeC,,
b0318,yahD,,335280,335885,+,ankyrin repeat-containing protein YahD,Function unknown,P77736,,yahDEFG,606.0
b0319,yahE,,335925,336788,+,DUF2877 domain-containing protein YahE,Function unknown,P77297,RpoN,,
b0320,yahF,,336778,338325,+,putative acyl-CoA synthetase YahF,Energy production and conversion,P77187,,yahDEFG,1548.0
b0321,yahG,,338325,339743,+,DUF1116 domain-containing protein YahG,Energy production and conversion,P77221,,yahDEFG,1419.0
b0322,yahH,,339793,340089,+,putative uncharacterized protein YahH,No COG annotation,UPI0000673DAE,,,
b0323,yahI,,340165,341115,+,carbamate kinase-like protein YahI,Amino acid transport and metabolism,P77624,,yahIJ,951.0
b0324,yahJ,,341125,342507,+,putative deaminase with metallo-dependent hydrolase domain,Nucleotide transport and metabolism,P77554,,yahIJ,1383.0
b0325,yahK,,342884,343933,+,aldehyde reductase%2C NADPH-dependent,Function unknown,P75691,,yahK,1050.0
b0326,yahL,,344176,344991,+,uncharacterized protein YahL,No COG annotation,P77393,,,
b0327,yahM,,345404,345649,+,uncharacterized protein YahM,No COG annotation,P75692,,,
b0328,yahN,,345666,346337,-,putative amino acid exporter,Amino acid transport and metabolism,P75693,Crp,yahN,672.0
b0329,yahO,,346484,346759,+,DUF1471 domain-containing protein YahO,Function unknown,P75694,"omrA,omrB,ppGpp",yahO,276.0
b0330,prpR,,346857,348443,-,DNA-binding transcriptional dual regulator PrpR,Transcription,P77743,"RpoD,PrpR,Crp,AscG,PhoB",prpR,1587.0
b0331,prpB,,348682,349572,+,2-methylisocitrate lyase,Carbohydrate transport and metabolism,P77541,"PrpR,RpoN,Cra,Crp",prpBCDE,891.0
b0333,prpC,,350012,351181,+,2-methylcitrate synthase,Energy production and conversion,P31660,"PrpR,RpoN,Cra,Crp",prpBCDE,1170.0
b0334,prpD,,351215,352666,+,2-methylcitrate dehydratase,Function unknown,P77243,"PrpR,RpoN,Cra,Crp",prpBCDE,1452.0
b0335,prpE,,352706,354592,+,propionyl-CoA synthetase,Lipid transport and metabolism,P77495,"PrpR,RpoN,Cra,Crp",prpBCDE,1887.0
b0336,codB,,354922,356181,+,cytosine transporter,Nucleotide transport and metabolism,P0AA82,"RpoD,PurR,ppGpp,Nac",codBA,1260.0
b0337,codA,,356171,357454,+,cytosine/isoguanine deaminase,Nucleotide transport and metabolism,P25524,"RpoD,PurR,Nac",codBA,1284.0
b0338,cynR,,357791,358690,-,DNA-binding transcriptional dual regulator CynR,Transcription,P27111,"RpoD,CynR,Nac",cynR,900.0
b0339,cynT,,358799,359458,+,carbonic anhydrase 1,Inorganic ion transport and metabolism,P0ABE9,"RpoD,CynR,Nac",cynTSX,660.0
b0340,cynS,,359489,359959,+,cyanase,Inorganic ion transport and metabolism,P00816,"RpoD,CynR",cynTSX,471.0
b0341,cynX,,359992,361146,+,cyanate transporter,Inorganic ion transport and metabolism,P17583,"RpoD,CynR",cynTSX,1155.0
b0342,lacA,,361249,361860,-,galactoside O-acetyltransferase,Function unknown,P07464,"RpoD,Crp,MarA,H-NS,LacI",lacZYA,612.0
b0343,lacY,,361926,363179,-,lactose permease,Inorganic ion transport and metabolism,P02920,"RpoD,YeiE,Crp,MarA,H-NS,LacI",lacZYA,1254.0
b0344,lacZ,,363231,366305,-,beta-galactosidase,Carbohydrate transport and metabolism,G0ZKW2,"RpoD,YidZ,Crp,MarA,H-NS,LacI",lacZYA,3075.0
b0345,lacI,,366428,367510,-,DNA-binding transcriptional repressor LacI,Transcription,P03023,"RpoD,Crp",mhpR-lacI,1083.0
b0346,mhpR,,367587,368420,-,DNA-binding transcriptional activator MhpR,Transcription,P77569,"RpoD,YbaQ,Crp",mhpR-lacI,834.0
b0347,mhpA,,368611,370275,+,putative 3-(3-hydroxyphenyl)propanoate/3-hydroxycinnamate hydroxylase,Energy production and conversion,P77397,"RpoD,YbaQ,Crp,MhpR",mhpABCDFE,1665.0
