,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS01155,pncC,NZ_CP009977.1,226866,227357,+,nicotinamide-nucleotide amidase,Function unknown,A0A1B1EF71,Op251,"QstR,TfoX"
PN96_RS01160,recA,NZ_CP009977.1,227548,228594,+,recombinase RecA,"Replication, recombination and repair",A0A1B1EFL1,Op252,LexA
PN96_RS01165,recX,NZ_CP009977.1,228709,229176,+,recombination regulator RecX,Function unknown,UPI000357F106,Op252,LexA
PN96_RS01170,alaS,NZ_CP009977.1,229319,231901,+,alanine--tRNA ligase,"Translation, ribosomal structure and biogenesis",UPI000357CBE0,Op254,QstR
PN96_RS01175,PN96_RS01175,NZ_CP009977.1,232098,233285,+,aspartate kinase,Amino acid transport and metabolism,UPI000357FB52,Op255,
PN96_RS01180,csrA,NZ_CP009977.1,233377,233574,+,carbon storage regulator CsrA,"Translation, ribosomal structure and biogenesis",A0A066URN5,Op257,
PN96_RS01235,PN96_RS01235,NZ_CP009977.1,235724,235981,+,oxaloacetate decarboxylase subunit gamma,Energy production and conversion,A0A1B1EEW0,Op259,
PN96_RS01240,oadA,NZ_CP009977.1,236014,237801,+,sodium-extruding oxaloacetate decarboxylase subunit alpha,Energy production and conversion,UPI000357C085,Op259,
PN96_RS01245,PN96_RS01245,NZ_CP009977.1,237811,238941,+,sodium ion-translocating decarboxylase subunit beta,Energy production and conversion,UPI0003579B73,Op259,
PN96_RS01250,PN96_RS01250,NZ_CP009977.1,239079,240029,+,NADP-dependent oxidoreductase,Energy production and conversion,UPI000358235D,Op261,
PN96_RS01255,PN96_RS01255,NZ_CP009977.1,240023,240484,+,DedA family protein,Function unknown,A0A1B1EF59,Op261,
PN96_RS01260,PN96_RS01260,NZ_CP009977.1,240494,243337,+,insulinase family protein,Function unknown,A0A3B7D024,Op261,
PN96_RS01265,gshA,NZ_CP009977.1,243494,245062,+,glutamate--cysteine ligase,Coenzyme transport and metabolism,A0A3B7CTJ7,Op263,
PN96_RS01270,PN96_RS01270,NZ_CP009977.1,245087,245692,+,hypothetical protein,Function unknown,UPI000243B519,Op263,
PN96_RS01275,luxS,NZ_CP009977.1,245762,246280,+,S-ribosylhomocysteine lyase,Coenzyme transport and metabolism,A0A1B1EEV7,Op265,
PN96_RS01280,PN96_RS01280,NZ_CP009977.1,246365,247642,-,CNNM domain-containing protein,Inorganic ion transport and metabolism,A0A1B1EEW4,Op266,
PN96_RS01285,PN96_RS01285,NZ_CP009977.1,247761,248555,-,inner membrane protein YpjD,Function unknown,A0A1B1EET3,Op268,
PN96_RS01290,ffh,NZ_CP009977.1,248780,250162,+,signal recognition particle protein,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1EEV1,Op270,
PN96_RS01295,rpsP,NZ_CP009977.1,250371,250619,+,30S ribosomal protein S16,"Translation, ribosomal structure and biogenesis",A0A072KZL4,Op271,
PN96_RS01300,rimM,NZ_CP009977.1,250650,251198,+,ribosome maturation factor RimM,"Translation, ribosomal structure and biogenesis",A0A1B1EET7,Op271,
PN96_RS01305,trmD,NZ_CP009977.1,251226,251987,+,tRNA (guanosine(37)-N1)-methyltransferase TrmD,"Translation, ribosomal structure and biogenesis",A0A1B1EES9,Op271,
PN96_RS01310,rplS,NZ_CP009977.1,252028,252381,+,50S ribosomal protein L19,"Translation, ribosomal structure and biogenesis",A0A0A3FCX9,Op271,
PN96_RS01315,yacG,NZ_CP009977.1,252706,252900,-,DNA gyrase inhibitor YacG,Function unknown,A0A3B7CTI7,Op274,
PN96_RS01320,zapD,NZ_CP009977.1,252974,253714,-,cell division protein ZapD,"Cell cycle control, cell division, chromosome partitioning",UPI000357B1B5,Op275,
PN96_RS01325,coaE,NZ_CP009977.1,253741,254355,-,dephospho-CoA kinase,Nucleotide transport and metabolism,UPI0003573453,Op275,TfoX
PN96_RS01330,PN96_RS01330,NZ_CP009977.1,254356,255225,-,A24 family peptidase,Cell motility,UPI0003580729,Op275,TfoX
PN96_RS01335,pilC,NZ_CP009977.1,255293,256516,-,type II secretion system F family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI000357DF94,Op277,TfoX
PN96_RS01340,pilB,NZ_CP009977.1,256547,258232,-,type IV-A pilus assembly ATPase PilB,Cell motility,UPI0003577A32,Op277,TfoX
PN96_RS01345,PN96_RS01345,NZ_CP009977.1,258233,258691,-,pilin,Cell motility,UPI000358007F,Op277,"QstR,TfoX"
PN96_RS01350,nadC,NZ_CP009977.1,258958,259845,-,carboxylating nicotinate-nucleotide diphosphorylase,Coenzyme transport and metabolism,A0A3B7D0X3,Op279,
PN96_RS01355,ampD,NZ_CP009977.1,259938,260483,+,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,Defense mechanisms,UPI000357D5AA,Op281,
PN96_RS01360,pdhR,NZ_CP009977.1,260893,261660,+,pyruvate dehydrogenase complex transcriptional repressor PdhR,Transcription,A0A1B1EF41,Op283,"Crp,FNR,PdhR"
PN96_RS01365,aceE,NZ_CP009977.1,261710,264370,+,pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type,Energy production and conversion,A0A1B1EFH4,Op284,PdhR
PN96_RS01370,aceF,NZ_CP009977.1,264390,266279,+,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,Energy production and conversion,UPI000357301D,Op284,PdhR
PN96_RS01375,lpdA,NZ_CP009977.1,266546,267973,+,dihydrolipoyl dehydrogenase,Energy production and conversion,A0A1B1EET9,Op284,PdhR
PN96_RS01380,OpaR,NZ_CP009977.1,268098,268712,-,TetR/AcrR family transcriptional regulator,Transcription,A0A1B1EEU5,Op287,HapR
PN96_RS01385,hpt,NZ_CP009977.1,269030,269560,+,hypoxanthine phosphoribosyltransferase,Nucleotide transport and metabolism,A0A1B1EER0,Op288,
PN96_RS01390,can,NZ_CP009977.1,269649,270317,-,carbonate dehydratase,Inorganic ion transport and metabolism,A0A1B1EET1,Op290,
PN96_RS01395,PN96_RS01395,NZ_CP009977.1,270597,272267,+,SulP family inorganic anion transporter,Inorganic ion transport and metabolism,A0A3B7D760,Op292,
PN96_RS01400,PN96_RS01400,NZ_CP009977.1,272574,273485,+,ABC transporter ATP-binding protein,Defense mechanisms,A0A3B7D1T7,Op294,Crp
PN96_RS01405,PN96_RS01405,NZ_CP009977.1,273495,274265,+,ABC transporter permease,Defense mechanisms,A0A1B1EET4,Op294,Crp
PN96_RS01410,panC,NZ_CP009977.1,274334,275236,-,pantoate--beta-alanine ligase,Coenzyme transport and metabolism,UPI000357F8F7,Op296,
PN96_RS01415,panB,NZ_CP009977.1,275248,276042,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,A0A1B1EEQ9,Op296,
PN96_RS01420,folK,NZ_CP009977.1,276067,276552,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,UPI000243B4FD,Op296,
PN96_RS01425,pcnB,NZ_CP009977.1,276549,277913,-,polynucleotide adenylyltransferase PcnB,Nucleotide transport and metabolism,UPI00035735E6,Op296,
PN96_RS01430,gluQRS,NZ_CP009977.1,278014,278877,-,tRNA glutamyl-Q(34) synthetase GluQRS,"Translation, ribosomal structure and biogenesis",UPI000356FE7A,Op299,
PN96_RS01435,dksA,NZ_CP009977.1,278954,279400,-,RNA polymerase-binding protein DksA,Signal transduction mechanisms,A0A1B1EET0,Op301,QstR
PN96_RS01440,sfsA,NZ_CP009977.1,279525,280253,-,DNA/RNA nuclease SfsA,Function unknown,UPI0003578758,Op302,
PN96_RS01445,hrpB,NZ_CP009977.1,280321,282789,+,ATP-dependent helicase HrpB,"Replication, recombination and repair",UPI0004040876,Op303,
PN96_RS01450,mrcB,NZ_CP009977.1,282782,285154,+,penicillin-binding protein 1B,Cell wall/membrane/envelope biogenesis,UPI00035744F5,Op303,
PN96_RS01455,PN96_RS01455,NZ_CP009977.1,285292,287610,+,patatin-like phospholipase family protein,Cell wall/membrane/envelope biogenesis,UPI000357F320,Op308,
PN96_RS01460,acnB,NZ_CP009977.1,287878,290475,+,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,Energy production and conversion,UPI000357ECC9,Op310,
PN96_RS01465,PN96_RS01465,NZ_CP009977.1,290553,291686,-,glycerate kinase,Carbohydrate transport and metabolism,UPI0003580171,Op312,
PN96_RS01470,PN96_RS01470,NZ_CP009977.1,291704,292969,-,GntP family permease,Amino acid transport and metabolism,A0A3B7D5A0,Op312,
PN96_RS01475,PN96_RS01475,NZ_CP009977.1,293072,294247,-,helix-turn-helix domain-containing protein,Transcription,UPI0003576B22,Op317,
PN96_RS01480,PN96_RS01480,NZ_CP009977.1,294367,294735,+,YacL family protein,Function unknown,A0A1B1EF19,Op319,
PN96_RS01485,glnK,NZ_CP009977.1,294925,295263,+,P-II family nitrogen regulator,Transcription,A0A072H306,Op320,NtrC
PN96_RS01490,amtB,NZ_CP009977.1,295292,296521,+,ammonium transporter,Inorganic ion transport and metabolism,A0A1B1EEQ8,Op320,NtrC
PN96_RS01495,PN96_RS01495,NZ_CP009977.1,296676,297689,+,Fe(3+) ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A1B1EES1,Op322,Fur
PN96_RS01500,fbpB,NZ_CP009977.1,297881,299506,+,iron ABC transporter permease,Inorganic ion transport and metabolism,UPI0003582A0D,Op323,Fur
PN96_RS01505,fbpC,NZ_CP009977.1,299506,300537,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A3B7CUP7,Op323,Fur
PN96_RS01510,PN96_RS01510,NZ_CP009977.1,300643,302055,-,phosphoglucomutase/phosphomannomutase family protein,Carbohydrate transport and metabolism,UPI0003577689,Op325,
PN96_RS01515,PN96_RS01515,NZ_CP009977.1,302177,304585,-,N%2CN'-diacetylchitobiose phosphorylase,Carbohydrate transport and metabolism,UPI000429AB0E,Op328,
PN96_RS01520,PN96_RS01520,NZ_CP009977.1,304669,306588,-,family 20 glycosylhydrolase,Carbohydrate transport and metabolism,UPI000356E185,Op328,
PN96_RS01525,PN96_RS01525,NZ_CP009977.1,306591,307487,-,N-acetylglucosamine kinase,Carbohydrate transport and metabolism,A0A1B1EEN9,Op328,
PN96_RS01530,PN96_RS01530,NZ_CP009977.1,307492,309213,-,glycoside hydrolase family 9 protein,Function unknown,UPI000357794B,Op328,
PN96_RS01535,PN96_RS01535,NZ_CP009977.1,309276,310271,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,UPI000243B407,Op332,
PN96_RS01540,PN96_RS01540,NZ_CP009977.1,310320,311303,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A1B1EEP8,Op333,
PN96_RS01545,PN96_RS01545,NZ_CP009977.1,311306,312331,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A1B1EER2,Op333,
PN96_RS01550,PN96_RS01550,NZ_CP009977.1,312334,313320,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A1B1EER6,Op333,
PN96_RS01555,PN96_RS01555,NZ_CP009977.1,313492,315174,-,ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A3B7CUP2,Op335,
PN96_RS01560,PN96_RS01560,NZ_CP009977.1,316050,319436,-,response regulator,Signal transduction mechanisms,UPI00035705F6,Op338,
PN96_RS24115,PN96_RS24115,NZ_CP009977.1,319435,319689,+,hypothetical protein,No COG annotation,UPI000462B638,Op341,
PN96_RS01570,rsmC,NZ_CP009977.1,319663,320688,-,16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC,"Translation, ribosomal structure and biogenesis",UPI000356FF5C,Op342,
PN96_RS01575,PN96_RS01575,NZ_CP009977.1,320765,321850,-,AI-2E family transporter,Function unknown,UPI000243B329,Op344,
PN96_RS01580,hemL,NZ_CP009977.1,322190,323485,-,glutamate-1-semialdehyde 2%2C1-aminomutase,Coenzyme transport and metabolism,A0A1B1EEM9,Op345,
PN96_RS01585,erpA,NZ_CP009977.1,323728,324069,+,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,A0A1B1EEZ5,Op346,IscR 
PN96_RS01590,PN96_RS01590,NZ_CP009977.1,324276,325358,+,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,UPI000357C153,Op348,
PN96_RS01595,PN96_RS01595,NZ_CP009977.1,325370,328486,+,efflux RND transporter permease subunit,Defense mechanisms,UPI0003570962,Op348,
PN96_RS01600,PN96_RS01600,NZ_CP009977.1,328513,329802,-,peptidoglycan DD-metalloendopeptidase family protein,Cell wall/membrane/envelope biogenesis,A0A1B1EGS4,Op350,
PN96_RS01605,tyrS,NZ_CP009977.1,329932,331119,+,tyrosine--tRNA ligase,"Translation, ribosomal structure and biogenesis",A0A1B1EEQ4,Op354,
PN96_RS01610,PN96_RS01610,NZ_CP009977.1,331542,332387,+,magnesium transporter,Inorganic ion transport and metabolism,A0A1B1EEP4,Op356,
PN96_RS01615,dacB,NZ_CP009977.1,332366,333787,-,serine-type D-Ala-D-Ala carboxypeptidase,Cell wall/membrane/envelope biogenesis,A0A1B1EEP0,Op357,
PN96_RS01620,PN96_RS01620,NZ_CP009977.1,333982,335001,-,porin,Cell wall/membrane/envelope biogenesis,A0A1B1EEM5,Op358,"Crp,FNR,TfoX"
PN96_RS01625,greA,NZ_CP009977.1,335537,336010,+,transcription elongation factor GreA,Transcription,A0A1B1EEL9,Op359,Crp
PN96_RS01630,yhbY,NZ_CP009977.1,336087,336383,-,ribosome assembly RNA-binding protein YhbY,"Translation, ribosomal structure and biogenesis",A0A072FBF9,Op360,
PN96_RS01635,rlmE,NZ_CP009977.1,336522,337151,+,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,"Translation, ribosomal structure and biogenesis",A0A1B1EFB9,Op361,
PN96_RS01640,ftsH,NZ_CP009977.1,337260,339239,+,ATP-dependent zinc metalloprotease FtsH,"Post-translational modification, protein turnover, and chaperones",UPI000357309A,Op363,
PN96_RS01645,folP,NZ_CP009977.1,339292,340125,+,dihydropteroate synthase,Coenzyme transport and metabolism,UPI000357824F,Op366,Crp
PN96_RS01650,glmM,NZ_CP009977.1,340146,341486,+,phosphoglucosamine mutase,Carbohydrate transport and metabolism,UPI00035803E0,Op366,Crp
PN96_RS01655,secG,NZ_CP009977.1,341713,342051,+,preprotein translocase subunit SecG,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1EEL5,Op368,
PN96_RS01670,rimP,NZ_CP009977.1,342511,342966,+,ribosome maturation factor RimP,"Translation, ribosomal structure and biogenesis",A0A3B7CVC9,Op370,
PN96_RS01675,nusA,NZ_CP009977.1,343003,344490,+,transcription termination factor NusA,Transcription,A0A1B1EEN3,Op370,
PN96_RS01680,infB,NZ_CP009977.1,344511,347225,+,translation initiation factor IF-2,"Translation, ribosomal structure and biogenesis",A0A1B1EEL0,Op370,
PN96_RS01685,rbfA,NZ_CP009977.1,347340,347735,+,30S ribosome-binding factor RbfA,"Translation, ribosomal structure and biogenesis",A0A1B1EEL1,Op377,
PN96_RS01690,truB,NZ_CP009977.1,347735,348679,+,tRNA pseudouridine(55) synthase TruB,"Translation, ribosomal structure and biogenesis",A0A1B1EEX6,Op377,
PN96_RS01695,rpsO,NZ_CP009977.1,348828,349097,+,30S ribosomal protein S15,"Translation, ribosomal structure and biogenesis",A0A1B1EFA8,Op380,S15
PN96_RS01700,pnp,NZ_CP009977.1,349431,351566,+,polyribonucleotide nucleotidyltransferase,"Translation, ribosomal structure and biogenesis",UPI0003578B90,Op381,
PN96_RS01705,nlpI,NZ_CP009977.1,351765,352682,+,lipoprotein NlpI,Cell wall/membrane/envelope biogenesis,UPI000357C48A,Op385,
PN96_RS01710,PN96_RS01710,NZ_CP009977.1,352898,354244,+,MATE family efflux transporter,Defense mechanisms,UPI000357305F,Op386,
PN96_RS01715,PN96_RS01715,NZ_CP009977.1,354299,355177,-,U32 family peptidase,"Post-translational modification, protein turnover, and chaperones",UPI0003582402,Op388,FNR
PN96_RS01720,PN96_RS01720,NZ_CP009977.1,355198,356211,-,U32 family peptidase,"Post-translational modification, protein turnover, and chaperones",A0A3B7CZY6,Op388,FNR
PN96_RS01725,PN96_RS01725,NZ_CP009977.1,356330,358369,-,bifunctional diguanylate cyclase/phosphodiesterase,Signal transduction mechanisms,A0A1B1EEM1,Op392,
PN96_RS01730,PN96_RS01730,NZ_CP009977.1,358722,359249,+,SCP2 domain-containing protein,Lipid transport and metabolism,A0A1B1EGN6,Op393,Crp
PN96_RS01735,PN96_RS01735,NZ_CP009977.1,359233,359736,+,N-acetyltransferase,Function unknown,UPI000357F0E3,Op393,Crp
PN96_RS01740,PN96_RS01740,NZ_CP009977.1,359958,360356,+,DNA polymerase III subunit psi,"Replication, recombination and repair",UPI000357A74A,Op396,
PN96_RS01745,rimI,NZ_CP009977.1,360429,360884,+,ribosomal protein S18-alanine N-acetyltransferase,Transcription,UPI000357DDC0,Op398,
PN96_RS01750,prfC,NZ_CP009977.1,361051,362640,+,peptide chain release factor 3,"Translation, ribosomal structure and biogenesis",UPI0003579A09,Op399,
PN96_RS01755,PN96_RS01755,NZ_CP009977.1,362794,362976,+,DUF5363 family protein,Function unknown,A0A3B7CZK6,Op401,
PN96_RS01760,PN96_RS01760,NZ_CP009977.1,362963,363736,+,TatD family hydrolase,"Replication, recombination and repair",UPI000357CB8C,Op401,
PN96_RS01765,PN96_RS01765,NZ_CP009977.1,363941,365224,+,NupC/NupG family nucleoside CNT transporter,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1EEM4,Op403,Crp
PN96_RS01770,deoC,NZ_CP009977.1,365775,366551,+,deoxyribose-phosphate aldolase,Nucleotide transport and metabolism,A0A1B1EEJ0,Op404,
PN96_RS01775,deoA,NZ_CP009977.1,366804,368132,+,thymidine phosphorylase,Nucleotide transport and metabolism,UPI0003579C85,Op404,
PN96_RS01780,PN96_RS01780,NZ_CP009977.1,368216,369436,+,phosphopentomutase,Carbohydrate transport and metabolism,UPI000357DD6C,Op404,
PN96_RS01785,deoD,NZ_CP009977.1,369575,370294,+,purine-nucleoside phosphorylase,Nucleotide transport and metabolism,A0A1B1EEJ2,Op404,
PN96_RS01790,PN96_RS01790,NZ_CP009977.1,370378,370983,-,YtjB family periplasmic protein,Function unknown,A0A1B1EEJ3,Op406,
PN96_RS01795,serB,NZ_CP009977.1,371075,372055,+,phosphoserine phosphatase,Amino acid transport and metabolism,A0A1B1EEW1,Op408,
PN96_RS01800,PN96_RS01800,NZ_CP009977.1,372120,374468,-,PilZ domain-containing protein,Function unknown,UPI000358244B,Op410,
PN96_RS01805,radA,NZ_CP009977.1,374590,375969,+,DNA repair protein RadA,"Post-translational modification, protein turnover, and chaperones",A0A1B1EEJ7,Op412,
PN96_RS01810,fusA,NZ_CP009977.1,376175,378265,+,elongation factor G,"Translation, ribosomal structure and biogenesis",A0A1B1EEL2,Op414,
PN96_RS01815,PN96_RS01815,NZ_CP009977.1,378358,379284,-,LysR family transcriptional regulator,Transcription,UPI000357BBC7,Op416,
PN96_RS01820,PN96_RS01820,NZ_CP009977.1,379382,379591,+,DUF1127 domain-containing protein,No COG annotation,UPI00035747E0,Op418,
PN96_RS01825,PN96_RS01825,NZ_CP009977.1,379647,381341,-,AMP-binding protein,Lipid transport and metabolism,UPI000462A10F,Op420,
PN96_RS01830,PN96_RS01830,NZ_CP009977.1,381490,382218,-,helix-turn-helix domain-containing protein,Transcription,UPI000357F71C,Op422,
PN96_RS24120,PN96_RS24120,NZ_CP009977.1,382621,382794,+,hypothetical protein,No COG annotation,UPI0003574213,Op424,
PN96_RS01835,PN96_RS01835,NZ_CP009977.1,382875,383363,+,A24 family peptidase,"Post-translational modification, protein turnover, and chaperones",UPI000357F276,Op425,
PN96_RS01840,PN96_RS01840,NZ_CP009977.1,383474,384781,+,ATPase AAA,"Post-translational modification, protein turnover, and chaperones",UPI0003581397,Op427,
PN96_RS01845,cpaB,NZ_CP009977.1,384797,385534,+,Flp pilus assembly protein CpaB,"Intracellular trafficking, secretion, and vesicular transport",UPI0003573EC5,Op427,
PN96_RS01850,PN96_RS01850,NZ_CP009977.1,385542,387014,+,type II and III secretion system protein family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI0003571917,Op427,
PN96_RS01855,PN96_RS01855,NZ_CP009977.1,387027,387248,+,hypothetical protein,No COG annotation,UPI0003580B8D,Op427,
PN96_RS01860,PN96_RS01860,NZ_CP009977.1,387275,388615,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",UPI00040BE482,Op427,
PN96_RS01865,PN96_RS01865,NZ_CP009977.1,388617,389087,+,pilus assembly protein,"Intracellular trafficking, secretion, and vesicular transport",UPI0003574944,Op427,
PN96_RS01870,PN96_RS01870,NZ_CP009977.1,389084,389599,+,pilus assembly protein,"Intracellular trafficking, secretion, and vesicular transport",UPI000357709A,Op427,
PN96_RS01875,PN96_RS01875,NZ_CP009977.1,389610,390833,+,AAA family ATPase,"Intracellular trafficking, secretion, and vesicular transport",UPI000357B340,Op427,
PN96_RS01880,PN96_RS01880,NZ_CP009977.1,390846,392285,+,CpaF family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI000357C698,Op427,
PN96_RS01885,PN96_RS01885,NZ_CP009977.1,392294,393262,+,type II secretion system F family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI0003577154,Op427,
PN96_RS01890,PN96_RS01890,NZ_CP009977.1,393265,394212,+,type II secretion system F family protein,Cell motility,UPI0003578EED,Op427,
PN96_RS01895,PN96_RS01895,NZ_CP009977.1,394256,395272,+,tetratricopeptide repeat protein,Function unknown,UPI000357A148,Op440,
PN96_RS01900,PN96_RS01900,NZ_CP009977.1,395409,396350,-,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,UPI000357EF5E,Op442,
PN96_RS01905,PN96_RS01905,NZ_CP009977.1,396355,396705,-,GtrA family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI000357B4E3,Op442,
PN96_RS01910,PN96_RS01910,NZ_CP009977.1,397171,398367,+,DUF2029 domain-containing protein,No COG annotation,UPI000357AB3B,Op444,
PN96_RS01915,PN96_RS01915,NZ_CP009977.1,398371,399099,-,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",UPI0003579556,Op446,
PN96_RS01920,PN96_RS01920,NZ_CP009977.1,399300,400475,-,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,UPI0003581CF7,Op447,
PN96_RS01925,PN96_RS01925,NZ_CP009977.1,400486,402210,-,hypothetical protein,No COG annotation,UPI0003575CC2,Op447,
