,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA0279,ydfF,,313227,313925,+,transcriptional regulator,Transcription,Q9I6L1,
PA0280,cysA,,313938,314927,-,sulfate.thiosulfate ABC transporter ATP-binding protein CysA,Inorganic ion transport and metabolism,Q9I6L0,YdfF
PA0281,cysW,,314931,315800,-,sulfate transporter CysW,Inorganic ion transport and metabolism,Q9I6K9,YdfF
PA0282,cysT,,315811,316629,-,sulfate transporter CysT,Inorganic ion transport and metabolism,Q9I6K8,YdfF
PA0283,sbp,,316791,317789,-,sulfate-binding protein,Inorganic ion transport and metabolism,Q9I6K7,
PA0284,PA0284,,317966,318148,-,hypothetical protein,Function unknown,Q9I6K6,
PA0285,PA0285,,318312,320594,-,hypothetical protein,Signal transduction mechanisms,Q9I6K5,
PA0286,desA,,320766,321944,+,delta-9 fatty acid desaturase DesA,Lipid transport and metabolism,Q9I6K4,
PA0287,gpuP,,322175,323560,+,3-guanidinopropionate transporter,Amino acid transport and metabolism,Q9I6K3,
PA0288,gpuA,,323616,324572,+,guanidinopropionase,Amino acid transport and metabolism,Q9I6K2,
PA0289,gpuR,,324625,325587,+,transcriptional activator GpuR,Transcription,Q9I6K1,
PA0290,PA0290,,325700,326671,+,hypothetical protein,Signal transduction mechanisms,Q9I6K0,
PA0291,oprE,,327284,328666,+,anaerobically-induced outer membrane porin OprE,Function unknown,G3XDA5,
PA0292,aguA,,328801,329907,-,agmatine deiminase,Amino acid transport and metabolism,Q9I6J9,
PA0293,aguB,,329993,330871,-,N-carbamoylputrescine amidohydrolase,Function unknown,Q9I6J8,
PA0294,aguR,,331034,331699,-,transcriptional regulator AguR,Transcription,Q9I6J7,
PA0295,PA0295,,331762,332823,-,polyamine binding protein,Amino acid transport and metabolism,Q9I6J6,
PA0296,spuI,,333079,334455,-,glutamine synthetase,Amino acid transport and metabolism,Q9I6J5,
PA0297,spuA,,334734,335486,+,glutamine amidotransferase,Function unknown,Q9I6J4,"CbrB,CbrB,BauR"
PA0298,spuB,,335527,336885,+,glutamine synthetase,Amino acid transport and metabolism,Q9I6J3,"CbrB,CbrB,BauR"
PA0299,spuC,,336951,338321,+,aminotransferase,Amino acid transport and metabolism,Q9I6J2,"CbrB,CbrB,BauR"
PA0300,spuD,,338437,339540,+,putrescine ABC transporter substrate-binding protein SpuD,Amino acid transport and metabolism,Q9I6J1,"CbrB,CbrB,BauR"
PA0301,spuE,,339959,341056,+,spermidine ABC transporter substrate-binding protein SpuE,Amino acid transport and metabolism,Q9I6J0,"CbrB,CbrB,BauR"
PA0302,spuF,,341111,342265,+,polyamine transporter PotG,Amino acid transport and metabolism,Q9I6I9,"CbrB,BauR"
PA0303,spuG,,342292,343173,+,polyamine transporter PotH,Amino acid transport and metabolism,Q9I6I8,"CbrB,BauR"
PA0304,spuH,,343256,344125,+,polyamine transporter PotI,Amino acid transport and metabolism,Q9I6I7,"CbrB,BauR"
PA0305,PA0305,,344303,346690,-,hypothetical protein,Function unknown,Q9I6I6,
PA0306,PA0306,,346801,347853,+,transcriptional regulator,Transcription,Q9I6I5,
PA0306a,PA0306a,,347832,348335,-,transcriptional regulator,No COG annotation,UPI00006D8910,
PA0307,PA0307,,348440,349051,-,hypothetical protein,Energy production and conversion,Q9I6I4,
PA0308,PA0308,,349050,350069,+,hypothetical protein,Lipid transport and metabolism,Q9I6I3,
PA0309,PA0309,,350089,350841,-,hypothetical protein,Function unknown,Q9I6I2,
PA0310,PA0310,,350890,351588,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I6I1,
PA0311,PA0311,,351610,352164,-,hypothetical protein,No COG annotation,Q9I6I0,
PA0312,PA0312,,352430,352924,+,hypothetical protein,Function unknown,Q9I6H9,
PA0313,PA0313,,352927,353619,-,L-cysteine ABC transporter protein YecS,Amino acid transport and metabolism,Q9I6H8,
PA0314,PA0314,,353691,354461,-,L-cysteine ABC transporter protein FliY,Amino acid transport and metabolism,Q9I6H7,
PA0315,PA0315,,354754,355191,+,hypothetical protein,Function unknown,Q9I6H6,
PA0316,serA,,355248,356477,-,D-3-phosphoglycerate dehydrogenase,Amino acid transport and metabolism,Q9I6H5,
PA0317,PA0317,,356681,358075,+,hypothetical protein,Energy production and conversion,Q9I6H4,
PA0318,PA0318,,358167,358832,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I6H3,
PA0319,PA0319,,358931,359920,+,hypothetical protein,Function unknown,Q9I6H2,
PA0320,PA0320,,359982,360332,+,hypothetical protein,Function unknown,Q9I6H1,
PA0321,PA0321,,360413,361447,-,acetylpolyamine aminohydrolase,Chromatin structure and dynamics,Q9I6H0,
PA0322,PA0322,,361463,362857,-,transporter,Amino acid transport and metabolism,Q9I6G9,
PA0323,PA0323,,363278,364321,-,ABC transporter,Amino acid transport and metabolism,Q9I6G8,
PA0324,PA0324,,364369,365157,-,ABC transporter permease,Amino acid transport and metabolism,Q9I6G7,
PA0325,PA0325,,365154,366083,-,ABC transporter permease,Inorganic ion transport and metabolism,Q9I6G6,
PA0326,PA0326,,366080,367129,-,ABC transporter ATP-binding protein,Amino acid transport and metabolism,Q9I6G5,
PA0327,PA0327,,367457,368422,+,hypothetical protein,Function unknown,Q9I6G4,
PA0328,PA0328,,368462,370405,-,hypothetical protein,Cell motility,Q9I6G3,
PA0329,PA0329,,370706,371038,-,hypothetical protein,Function unknown,Q9I6G2,
PA0330,rpiA,,371162,371833,-,ribose-5-phosphate isomerase A,Carbohydrate transport and metabolism,Q9I6G1,
PA0331,ilvA1,,372091,373605,+,threonine dehydratase,Amino acid transport and metabolism,Q9I6G0,
PA0332,PA0332,,373725,374192,+,hypothetical protein,Function unknown,Q9I6F9,
PA0333,PA0333,,374243,375514,+,hypothetical protein,Carbohydrate transport and metabolism,Q9I6F8,
PA0334,PA0334,,375951,377189,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I6F7,
PA0335,PA0335,,377239,377892,-,hypothetical protein,Amino acid transport and metabolism,Q9I6F6,
PA0336,ygdP,,378096,378575,+,RNA pyrophosphohydrolase,"Replication, recombination and repair",Q9X4P2,
PA0337,ptsP,,378598,380877,+,phosphoenolpyruvate-protein phosphotransferase PtsP,Signal transduction mechanisms,G3XD36,
PA0338,PA0338,,380903,382033,+,hypothetical protein,Signal transduction mechanisms,Q9I6F5,
PA0339,PA0339,,382037,382792,-,hypothetical protein,Function unknown,Q9I6F4,
PA0340,PA0340,,382914,383717,+,hypothetical protein,Function unknown,Q9I6F3,
PA0341,lgt,,383727,384527,+,prolipoprotein diacylglyceryl transferase,Cell wall/membrane/envelope biogenesis,Q9I6F2,
PA0342,thyA,,384733,385527,+,thymidylate synthase,Nucleotide transport and metabolism,Q9I6F1,
PA0343,PA0343,,385554,386351,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I6F0,
PA0344,PA0344,,386386,387765,-,hypothetical protein,Function unknown,Q9I6E9,
PA0345,PA0345,,387758,389143,-,hypothetical protein,Function unknown,Q9I6E8,
PA0346,PA0346,,389334,389696,+,hypothetical protein,No COG annotation,Q9I6E7,
PA0347,glpQ,,389733,390884,-,glycerophosphoryl diester phosphodiesterase,Energy production and conversion,Q9I6E6,
PA0348,PA0348,,391094,392188,+,hypothetical protein,No COG annotation,Q9I6E5,
PA0349,PA0349,,392185,393225,+,hypothetical protein,No COG annotation,Q9I6E4,
PA0350,folA,,393308,393814,+,dihydrofolate reductase,Coenzyme transport and metabolism,Q9I6E3,
PA0351,PA0351,,393830,394303,-,hypothetical protein,Function unknown,Q9I6E2,
PA0352,PA0352,,394442,395827,-,transporter,Nucleotide transport and metabolism,Q9I6E1,
PA0353,ilvD,,396057,397895,-,dihydroxy-acid dehydratase,Amino acid transport and metabolism,Q9I6E0,
PA0354,PA0354,,398224,399420,-,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q9I6D9,
PA0355,pfpI,,399493,400032,-,protease PfpI,Function unknown,Q9I6D8,
PA0356,PA0356,,400248,401072,+,hypothetical protein,Signal transduction mechanisms,Q9I6D7,
PA0357,mutM,,401131,401943,+,formamidopyrimidine-DNA glycosylase,"Replication, recombination and repair",Q9L7T2,
PA0358,PA0358,,402020,402598,+,hypothetical protein,Lipid transport and metabolism,Q9I6D6,
PA0359,PA0359,,402681,403025,+,hypothetical protein,Function unknown,Q9I6D5,
PA0360,PA0360,,403295,404281,+,hypothetical protein,Function unknown,Q9I6D4,
PA0361,PA0361,,404386,406119,-,gamma-glutamyltranspeptidase,Cell wall/membrane/envelope biogenesis,Q9I6D3,
PA0362,fdx1,,406247,406498,-,4Fe-4S ferredoxin,Energy production and conversion,Q9I6D2,
PA0363,coaD,,406619,407098,-,phosphopantetheine adenylyltransferase,Coenzyme transport and metabolism,Q9I6D1,
PA0364,PA0364,,407250,408845,-,oxidoreductase,Amino acid transport and metabolism,Q9I6D0,LaoR
PA0365,PA0365,,408901,409449,-,hypothetical protein,Function unknown,Q9I6C9,LaoR
PA0366,PA0366,,409504,410934,-,coniferyl aldehyde dehydrogenase,Energy production and conversion,Q9I6C8,LaoR
PA0367,laoR,,411224,411871,+,transcriptional regulator,Transcription,Q9I6C7,
PA0367a,PA0367a,,411856,412266,-,acetyltransferase,Function unknown,UPI00006D88F1,
PA0368,PA0368,,412329,413327,-,hypothetical protein,Function unknown,Q9I6C6,
PA0370,PA0370,,413933,414529,-,hypothetical protein,"Replication, recombination and repair",Q9I6C4,
PA0371,PA0371,,414529,416016,-,hypothetical protein,Function unknown,Q9I6C3,
PA0372,PA0372,,416009,417406,-,zinc protease,Function unknown,Q9I6C2,
PA0373,ftsY,,417527,418894,+,signal recognition particle receptor FtsY,"Intracellular trafficking, secretion, and vesicular transport",Q9I6C1,
PA0374,ftsE,,418891,419562,+,cell division protein FtsE,"Cell cycle control, cell division, chromosome partitioning",Q9I6C0,
PA0375,ftsX,,419562,420569,+,cell division protein FtsX,"Cell cycle control, cell division, chromosome partitioning",Q9I6B9,
PA0376,rpoH,,420683,421537,+,RNA polymerase sigma factor RpoH,Transcription,P42378,
PA0377,PA0377,,421602,422207,+,hypothetical protein,No COG annotation,Q9I6B8,
PA0378,PA0378,,422212,422943,-,monofunctional biosynthetic peptidoglycan transglycosylase,Cell wall/membrane/envelope biogenesis,Q9I6B7,
PA0379,PA0379,,422980,423357,+,hypothetical protein,Function unknown,Q9I6B6,
PA0380,PA0380,,423460,423660,+,sulfur carrier protein ThiS,Coenzyme transport and metabolism,Q9I6B5,
PA0381,thiG,,423719,424516,+,thiazole synthase,Coenzyme transport and metabolism,Q9I6B4,
PA0382,micA,,424670,425341,+,tRNA (guanine-N(7)-)-methyltransferase,"Translation, ribosomal structure and biogenesis",Q9I6B3,
PA0383,PA0383,,425504,426850,+,hypothetical protein,Function unknown,Q9I6B2,
PA0384,PA0384,,426863,427120,-,hypothetical protein,No COG annotation,Q9I6B1,
PA0385,PA0385,,427182,427505,-,hypothetical protein,Function unknown,Q9I6B0,
PA0386,PA0386,,427586,428740,-,coproporphyrinogen III oxidase,Coenzyme transport and metabolism,Q9I6A9,
PA0387,PA0387,,428861,429454,-,non-canonical purine NTP pyrophosphatase,Nucleotide transport and metabolism,Q9I6A8,
PA0388,PA0388,,429451,429870,-,hypothetical protein,Function unknown,Q9I6A7,
PA0389,PA0389,,430002,430622,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I6A6,
PA0390,metX,,430630,431769,-,homoserine O-acetyltransferase,Amino acid transport and metabolism,P57714,
PA0391,PA0391,,431858,433825,-,hypothetical protein,Function unknown,Q9I6A4,
PA0392,PA0392,,434226,434819,-,hypothetical protein,Function unknown,P25254,
PA0393,proC,,434830,435651,-,pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,P22008,
PA0394,PA0394,,435663,436355,-,hypothetical protein,Function unknown,P24562,
PA0395,pilT,,436570,437604,+,twitching motility protein PilT,Cell motility,P24559,
PA0396,pilU,,437782,438930,+,twitching motility protein PilU,Cell motility,G3XCX3,
PA0397,PA0397,,438938,439837,-,cation efflux system protein,Inorganic ion transport and metabolism,Q9I6A3,
PA0398,PA0398,,439991,440395,+,hypothetical protein,Function unknown,Q9I6A2,
PA0399,PA0399,,440638,442011,+,cystathionine beta-synthase,Amino acid transport and metabolism,Q9I6A1,
PA0400,PA0400,,442008,443192,+,cystathionine gamma-lyase,Amino acid transport and metabolism,Q9I6A0,
PA0401,PA0401,,443419,444690,-,dihydroorotase,Nucleotide transport and metabolism,Q51551,
PA0402,pyrB,,444687,445691,-,aspartate carbamoyltransferase,Nucleotide transport and metabolism,Q59653,
PA0403,pyrR,,445715,446227,-,bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase,Nucleotide transport and metabolism,Q9X6W6,
PA0404,PA0404,,446339,446773,-,Holliday junction resolvase,"Replication, recombination and repair",Q9I699,
PA0405,PA0405,,446773,447342,-,hypothetical protein,Transcription,Q9RQ16,
PA0406,tonB3,,447391,448350,-,transporter TonB,Cell wall/membrane/envelope biogenesis,Q9I698,
PA0407,gshB,,448431,449384,-,glutathione synthetase,Coenzyme transport and metabolism,Q9I697,
PA0408,pilG,,449639,450046,+,pilus biosynthesis/twitching motility protein PilG,Transcription,P46384,
PA0409,pilH,,450093,450458,+,twitching motility protein PilH,Transcription,P43501,
PA0410,pilI,,450509,451045,+,twitching motility protein PilI,Cell motility,P43502,
PA0411,pilJ,,451130,453178,+,twitching motility protein PilJ,Cell motility,P42257,
PA0412,pilK,,453239,454114,+,methyltransferase PilK,Cell motility,G3XCT5,
PA0413,chpA,,454126,461544,+,chemotactic signal transduction system protein,Signal transduction mechanisms,Q9I696,
PA0414,chpB,,461537,462568,+,methylesterase,Cell motility,G3XD63,
PA0415,chpC,,462565,463071,+,chemotaxis protein,Cell motility,G3XD95,
PA0416,chpD,,463079,463873,+,transcriptional regulator,Transcription,G3XCU1,
PA0417,chpE,,463949,464560,+,chemotactic transduction protein ChpE,Amino acid transport and metabolism,O87005,
PA0418,PA0418,,464568,465983,-,hypothetical protein,No COG annotation,Q9I695,
PA0419,PA0419,,466018,466740,-,16S ribosomal RNA methyltransferase RsmE,"Translation, ribosomal structure and biogenesis",Q9I694,
PA0420,bioA,,466833,468236,-,adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,Coenzyme transport and metabolism,Q9I693,
PA0421,PA0421,,468410,469900,+,hypothetical protein,Amino acid transport and metabolism,Q9I692,
PA0422,PA0422,,470081,470650,+,hypothetical protein,Energy production and conversion,Q9I691,
PA0423,pasP,,470662,471237,+,hypothetical protein,Function unknown,Q9I690,
PA0424,mexR,,471306,471749,-,multidrug resistance operon repressor MexR,Transcription,P52003,
PA0425,mexA,,472024,473175,+,multidrug resistance protein MexA,Cell wall/membrane/envelope biogenesis,P52477,
PA0426,mexB,,473191,476331,+,multidrug resistance protein MexB,Defense mechanisms,P52002,
PA0427,oprM,,476333,477790,+,outer membrane protein OprM,Cell wall/membrane/envelope biogenesis,Q51487,
PA0428,PA0428,,477886,479805,-,ATP-dependent RNA helicase,"Translation, ribosomal structure and biogenesis",Q9I689,
PA0429,PA0429,,480056,481126,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I688,
PA0430,metF,,481196,482068,-,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,Q9I687,SAH_riboswitch
PA0431,PA0431,,482111,482665,-,hypothetical protein,Transcription,Q9I686,SAH_riboswitch
PA0432,sahH,,482706,484115,-,adenosylhomocysteinase,Coenzyme transport and metabolism,Q9I685,SAH_riboswitch
PA0433,PA0433,,484404,484838,+,hypothetical protein,Function unknown,Q9I684,
PA0434,PA0434,,484964,487156,+,hypothetical protein,Inorganic ion transport and metabolism,Q9I683,
PA0435,PA0435,,487167,488645,+,hypothetical protein,Function unknown,Q9I682,
PA0436,PA0436,,488730,489350,+,transcriptional regulator,Transcription,Q9I681,
PA0437,codA,,489387,490658,-,cytosine deaminase,Nucleotide transport and metabolism,Q9I680,RutR2
PA0438,codB,,490648,491898,-,cytosine permease,Nucleotide transport and metabolism,Q9I679,RutR2
PA0439,PA0439,,492080,493357,-,dihydropyrimidine dehydrogenase,Energy production and conversion,Q9I678,RutR2
PA0440,PA0440,,493354,494721,-,oxidoreductase,Energy production and conversion,Q9I677,RutR2
PA0441,dht,,494816,496255,-,D-hydantoinase/dihydropyrimidinase,Nucleotide transport and metabolism,Q9I676,RutR2
PA0442,PA0442,,496362,496478,-,hypothetical protein,No COG annotation,Q9I675,
PA0443,PA0443,,496871,498361,+,transporter,Nucleotide transport and metabolism,Q9I674,RutR2
PA0444,PA0444,,498420,499703,+,allantoate amidohydrolase,Amino acid transport and metabolism,Q9I673,RutR2
PA0445,PA0445,,500104,501120,-,transposase,"Replication, recombination and repair",Q9HI37,
PA0446,PA0446,,501376,502599,-,hypothetical protein,Energy production and conversion,Q9I672,
PA0447,gcdH,,502719,503900,-,glutaryl-CoA dehydrogenase,Lipid transport and metabolism,Q9I671,
PA0448,PA0448,,504121,505029,+,transcriptional regulator,Transcription,Q9I670,
PA0449,PA0449,,505047,505586,+,acyl-CoA thioesterase,Lipid transport and metabolism,Q9I669,
PA0450,PA0450,,505629,507251,-,phosphate transporter,"Intracellular trafficking, secretion, and vesicular transport",Q9I668,
PA0451,PA0451,,507631,508962,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I667,
PA0452,PA0452,,508959,509753,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I666,
PA0451a,PA0451a,,509861,510592,+,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,UPI0000DAF031,
PA0454,PA0454,,510589,512790,-,hypothetical protein,Function unknown,Q9I664,
PA0455,dbpA,,513051,514427,-,ATP-dependent RNA helicase DbpA,"Translation, ribosomal structure and biogenesis",Q9I663,
PA0456,PA0456,,514775,514984,+,cold-shock protein,Transcription,Q9I662,
PA0457,PA0457,,515135,515659,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I661,
PA0457.1,PA0457.1,,515653,516027,-,hypothetical protein,Function unknown,B5WWL1,
PA0458,PA0458,,516029,517462,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I660,
PA0459,PA0459,,518083,520635,+,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",Q9I659,
PA0460,PA0460,,520737,521315,+,hypothetical protein,Function unknown,Q9I658,
PA0461,PA0461,,521630,522517,-,acyltransferase,Lipid transport and metabolism,Q9I657,
PA0462,PA0462,,522660,523169,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",UPI00006D88C0,
PA0463,creB,,523254,523943,+,DNA-binding response regulator CreB,Signal transduction mechanisms,Q9I655,
PA0464,creC,,523943,525367,+,sensory histidine kinase CreC,Signal transduction mechanisms,Q9I654,
PA0465,creD,,525469,526827,+,hypothetical protein,Defense mechanisms,Q9I653,
PA0466,PA0466,,526877,527179,+,hypothetical protein,No COG annotation,Q9I652,
PA0467,PA0467,,527324,527944,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I651,
